Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
"KTM, Mix Data","Gheribi-KT24, Mix Data",784.15,0.11450548131969904
"KTM, Mix Data","Gheribi-KT24, Mix Data",787.6939393939393,0.1143217373832421
"KTM, Mix Data","Gheribi-KT24, Mix Data",791.2378787878788,0.11413798877973749
"KTM, Mix Data","Gheribi-KT24, Mix Data",794.7818181818182,0.11395423548962708
"KTM, Mix Data","Gheribi-KT24, Mix Data",798.3257575757575,0.11377047749324351
"KTM, Mix Data","Gheribi-KT24, Mix Data",801.869696969697,0.11358671477080885
"KTM, Mix Data","Gheribi-KT24, Mix Data",805.4136363636363,0.1134029473024347
"KTM, Mix Data","Gheribi-KT24, Mix Data",808.9575757575758,0.11321917506812043
"KTM, Mix Data","Gheribi-KT24, Mix Data",812.5015151515152,0.1130353980477532
"KTM, Mix Data","Gheribi-KT24, Mix Data",816.0454545454545,0.11285161622110661
"KTM, Mix Data","Gheribi-KT24, Mix Data",819.589393939394,0.11266782956784026
"KTM, Mix Data","Gheribi-KT24, Mix Data",823.1333333333333,0.11248403806749883
"KTM, Mix Data","Gheribi-KT24, Mix Data",826.6772727272727,0.11230024169951118
"KTM, Mix Data","Gheribi-KT24, Mix Data",830.2212121212121,0.1121164404431896
"KTM, Mix Data","Gheribi-KT24, Mix Data",833.7651515151515,0.111932634277729
"KTM, Mix Data","Gheribi-KT24, Mix Data",837.3090909090909,0.11174882318220604
"KTM, Mix Data","Gheribi-KT24, Mix Data",840.8530303030303,0.11156500713557842
"KTM, Mix Data","Gheribi-KT24, Mix Data",844.3969696969697,0.11138118611668374
"KTM, Mix Data","Gheribi-KT24, Mix Data",847.940909090909,0.1111973601042389
"KTM, Mix Data","Gheribi-KT24, Mix Data",851.4848484848485,0.11101352907683928
"KTM, Mix Data","Gheribi-KT24, Mix Data",855.0287878787879,0.11082969301295753
"KTM, Mix Data","Gheribi-KT24, Mix Data",858.5727272727272,0.11064585189094306
"KTM, Mix Data","Gheribi-KT24, Mix Data",862.1166666666667,0.11046200568902101
"KTM, Mix Data","Gheribi-KT24, Mix Data",865.660606060606,0.11027815438529123
"KTM, Mix Data","Gheribi-KT24, Mix Data",869.2045454545455,0.1100942979577277
"KTM, Mix Data","Gheribi-KT24, Mix Data",872.7484848484848,0.10991043638417727
"KTM, Mix Data","Gheribi-KT24, Mix Data",876.2924242424242,0.10972656964235893
"KTM, Mix Data","Gheribi-KT24, Mix Data",879.8363636363637,0.10954269770986282
"KTM, Mix Data","Gheribi-KT24, Mix Data",883.380303030303,0.10935882056414953
"KTM, Mix Data","Gheribi-KT24, Mix Data",886.9242424242424,0.10917493818254867
"KTM, Mix Data","Gheribi-KT24, Mix Data",890.4681818181818,0.10899105054225844
"KTM, Mix Data","Gheribi-KT24, Mix Data",894.0121212121212,0.10880715762034435
"KTM, Mix Data","Gheribi-KT24, Mix Data",897.5560606060606,0.10862325939373836
"KTM, Mix Data","Gheribi-KT24, Mix Data",901.1,0.10843935583923789
"KTM, Mix Data","Gheribi-KT24, Mix Data",904.6439393939394,0.1082554469335049
"KTM, Mix Data","Gheribi-KT24, Mix Data",908.1878787878788,0.10807153265306475
"KTM, Mix Data","Gheribi-KT24, Mix Data",911.7318181818182,0.10788761297430544
"KTM, Mix Data","Gheribi-KT24, Mix Data",915.2757575757576,0.10770368787347633
"KTM, Mix Data","Gheribi-KT24, Mix Data",918.8196969696969,0.1075197573266873
"KTM, Mix Data","Gheribi-KT24, Mix Data",922.3636363636364,0.10733582130990758
"KTM, Mix Data","Gheribi-KT24, Mix Data",925.9075757575757,0.10715187979896497
"KTM, Mix Data","Gheribi-KT24, Mix Data",929.4515151515152,0.10696793276954462
"KTM, Mix Data","Gheribi-KT24, Mix Data",932.9954545454545,0.10678398019718784
"KTM, Mix Data","Gheribi-KT24, Mix Data",936.5393939393939,0.10660002205729129
"KTM, Mix Data","Gheribi-KT24, Mix Data",940.0833333333334,0.10641605832510581
"KTM, Mix Data","Gheribi-KT24, Mix Data",943.6272727272727,0.10623208897573533
"KTM, Mix Data","Gheribi-KT24, Mix Data",947.1712121212121,0.10604811398413574
"KTM, Mix Data","Gheribi-KT24, Mix Data",950.7151515151515,0.10586413332511382
"KTM, Mix Data","Gheribi-KT24, Mix Data",954.2590909090909,0.10568014697332627
"KTM, Mix Data","Gheribi-KT24, Mix Data",957.8030303030303,0.10549615490327828
"KTM, Mix Data","Gheribi-KT24, Mix Data",961.3469696969697,0.10531215708932279
"KTM, Mix Data","Gheribi-KT24, Mix Data",964.8909090909091,0.10512815350565889
"KTM, Mix Data","Gheribi-KT24, Mix Data",968.4348484848485,0.10494414412633109
"KTM, Mix Data","Gheribi-KT24, Mix Data",971.9787878787879,0.10476012892522786
"KTM, Mix Data","Gheribi-KT24, Mix Data",975.5227272727273,0.10457610787608071
"KTM, Mix Data","Gheribi-KT24, Mix Data",979.0666666666666,0.10439208095246279
"KTM, Mix Data","Gheribi-KT24, Mix Data",982.6106060606061,0.10420804812778779
"KTM, Mix Data","Gheribi-KT24, Mix Data",986.1545454545454,0.10402400937530876
"KTM, Mix Data","Gheribi-KT24, Mix Data",989.6984848484849,0.1038399646681168
"KTM, Mix Data","Gheribi-KT24, Mix Data",993.2424242424242,0.10365591397914004
"KTM, Mix Data","Gheribi-KT24, Mix Data",996.7863636363636,0.10347185728114201
"KTM, Mix Data","Gheribi-KT24, Mix Data",1000.3303030303031,0.10328779454672088
"KTM, Mix Data","Gheribi-KT24, Mix Data",1003.8742424242424,0.10310372574830781
"KTM, Mix Data","Gheribi-KT24, Mix Data",1007.4181818181819,0.10291965085816594
"KTM, Mix Data","Gheribi-KT24, Mix Data",1010.9621212121212,0.10273556984838889
"KTM, Mix Data","Gheribi-KT24, Mix Data",1014.5060606060606,0.1025514826908996
"KTM, Mix Data","Gheribi-KT24, Mix Data",1018.05,0.10236738935744898
"KTM, Mix Data","Gheribi-KT24, Mix Data",1021.5939393939394,0.10218328981961464
"KTM, Mix Data","Gheribi-KT24, Mix Data",1025.137878787879,0.10199918404879946
"KTM, Mix Data","Gheribi-KT24, Mix Data",1028.6818181818182,0.10181507201623041
"KTM, Mix Data","Gheribi-KT24, Mix Data",1032.2257575757576,0.10163095369295692
"KTM, Mix Data","Gheribi-KT24, Mix Data",1035.769696969697,0.10144682904984986
