Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
NaCl,Present Model,1073.8,0.4972782463721424
NaCl,Present Model,1077.0949494949496,0.4958622145113433
NaCl,Present Model,1080.389898989899,0.4944481262812816
NaCl,Present Model,1083.6848484848485,0.49303598168195695
NaCl,Present Model,1086.979797979798,0.49162578071336976
NaCl,Present Model,1090.2747474747475,0.4902175233755198
NaCl,Present Model,1093.569696969697,0.48881120966840713
NaCl,Present Model,1096.8646464646465,0.4874068395920318
NaCl,Present Model,1100.159595959596,0.48600441314639375
NaCl,Present Model,1103.4545454545455,0.4846039303314929
NaCl,Present Model,1106.7494949494949,0.4832053911473294
NaCl,Present Model,1110.0444444444445,0.481808795593903
NaCl,Present Model,1113.3393939393939,0.48041414367121416
NaCl,Present Model,1116.6343434343435,0.47902143537926245
NaCl,Present Model,1119.9292929292928,0.4776306707180482
NaCl,Present Model,1123.2242424242424,0.47624184968757105
NaCl,Present Model,1126.5191919191918,0.4748549722878311
NaCl,Present Model,1129.8141414141414,0.4734700385188286
NaCl,Present Model,1133.1090909090908,0.4720870483805633
NaCl,Present Model,1136.4040404040404,0.47070600187303535
NaCl,Present Model,1139.6989898989898,0.46932689899624463
NaCl,Present Model,1142.9939393939394,0.4679497397501911
NaCl,Present Model,1146.2888888888888,0.466574524134875
NaCl,Present Model,1149.5838383838384,0.4652012521502962
NaCl,Present Model,1152.8787878787878,0.4638299237964546
NaCl,Present Model,1156.1737373737374,0.46246053907335016
NaCl,Present Model,1159.4686868686867,0.46109309798098325
NaCl,Present Model,1162.7636363636364,0.45972760051935346
NaCl,Present Model,1166.0585858585857,0.45836404668846104
NaCl,Present Model,1169.3535353535353,0.45700243648830585
NaCl,Present Model,1172.6484848484847,0.455642769918888
NaCl,Present Model,1175.9434343434343,0.4542850469802072
NaCl,Present Model,1179.238383838384,0.45292926767226377
NaCl,Present Model,1182.5333333333333,0.45157543199505795
NaCl,Present Model,1185.8282828282827,0.45022353994858916
NaCl,Present Model,1189.1232323232323,0.4488735915328576
NaCl,Present Model,1192.418181818182,0.4475255867478633
NaCl,Present Model,1195.7131313131313,0.4461795255936065
NaCl,Present Model,1199.0080808080809,0.44483540807008676
NaCl,Present Model,1202.3030303030303,0.4434932341773045
NaCl,Present Model,1205.5979797979799,0.4421530039152593
NaCl,Present Model,1208.8929292929292,0.4408147172839515
NaCl,Present Model,1212.1878787878788,0.439478374283381
NaCl,Present Model,1215.4828282828282,0.43814397491354773
NaCl,Present Model,1218.7777777777778,0.4368115191744517
NaCl,Present Model,1222.0727272727272,0.4354810070660931
NaCl,Present Model,1225.3676767676768,0.43415243858847163
NaCl,Present Model,1228.6626262626262,0.4328258137415876
NaCl,Present Model,1231.9575757575758,0.43150113252544064
NaCl,Present Model,1235.2525252525252,0.4301783949400311
NaCl,Present Model,1238.5474747474748,0.4288576009853589
NaCl,Present Model,1241.8424242424242,0.42753875066142394
NaCl,Present Model,1245.1373737373738,0.42622184396822604
NaCl,Present Model,1248.4323232323231,0.4249068809057657
NaCl,Present Model,1251.7272727272727,0.4235938614740425
NaCl,Present Model,1255.0222222222221,0.4222827856730567
NaCl,Present Model,1258.3171717171717,0.42097365350280797
NaCl,Present Model,1261.612121212121,0.41966646496329685
NaCl,Present Model,1264.9070707070707,0.41836122005452275
NaCl,Present Model,1268.20202020202,0.4170579187764861
NaCl,Present Model,1271.4969696969697,0.4157565611291864
NaCl,Present Model,1274.791919191919,0.4144571471126244
NaCl,Present Model,1278.0868686868687,0.41315967672679954
NaCl,Present Model,1281.3818181818183,0.4118641499717118
NaCl,Present Model,1284.6767676767677,0.4105705668473615
NaCl,Present Model,1287.971717171717,0.40927892735374843
NaCl,Present Model,1291.2666666666667,0.40798923149087263
NaCl,Present Model,1294.5616161616163,0.4067014792587341
NaCl,Present Model,1297.8565656565656,0.40541567065733286
NaCl,Present Model,1301.1515151515152,0.40413180568666884
NaCl,Present Model,1304.4464646464646,0.4028498843467423
NaCl,Present Model,1307.7414141414142,0.40156990663755293
NaCl,Present Model,1311.0363636363636,0.4002918725591007
NaCl,Present Model,1314.3313131313132,0.3990157821113859
NaCl,Present Model,1317.6262626262626,0.3977416352944085
NaCl,Present Model,1320.9212121212122,0.39646943210816826
NaCl,Present Model,1324.2161616161616,0.3951991725526652
NaCl,Present Model,1327.5111111111112,0.3939308566278995
NaCl,Present Model,1330.8060606060606,0.3926644843338712
NaCl,Present Model,1334.1010101010102,0.39140005567058017
NaCl,Present Model,1337.3959595959595,0.3901375706380261
NaCl,Present Model,1340.6909090909091,0.3888770292362096
NaCl,Present Model,1343.9858585858585,0.38761843146513036
NaCl,Present Model,1347.2808080808081,0.3863617773247883
NaCl,Present Model,1350.5757575757575,0.3851070668151836
NaCl,Present Model,1353.870707070707,0.38385429993631615
NaCl,Present Model,1357.1656565656565,0.382603476688186
NaCl,Present Model,1360.460606060606,0.38135459707079317
NaCl,Present Model,1363.7555555555555,0.38010766108413757
NaCl,Present Model,1367.050505050505,0.3788626687282192
NaCl,Present Model,1370.3454545454547,0.37761962000303806
NaCl,Present Model,1373.640404040404,0.3763785149085945
NaCl,Present Model,1376.9353535353534,0.37513935344488797
NaCl,Present Model,1380.230303030303,0.3739021356119188
NaCl,Present Model,1383.5252525252527,0.37266686140968686
NaCl,Present Model,1386.820202020202,0.3714335308381922
NaCl,Present Model,1390.1151515151514,0.37020214389743505
NaCl,Present Model,1393.410101010101,0.3689727005874149
NaCl,Present Model,1396.7050505050506,0.36774520090813206
NaCl,Present Model,1400.0,0.3665196448595866
