Salt Composition,Melting Temp (K),Min Measured Temp (K),Gheribi-KTCPλ at Melt Temp (W/m-K),"Gheribi-KTCPλ, Mix Data at Melt Temp (W/m-K)",Gheribi-KT-Emp at Melt Temp (W/m-K),Gheribi-KT-Emp-Mix at Melt Temp (W/m-K),Gheribi-KT24 at Melt Temp (W/m-K),"Gheribi-KT24, Mix Data at Melt Temp (W/m-K)",Zhao-PGM at Melt Temp (W/m-K),"Zhao-PGM, Mix Data at Melt Temp (W/m-K)",Present Model at Melt Temp (W/m-K),"Present Model, Mix Data at Melt Temp (W/m-K)",Present Model-VelCorr at Melt Temp (W/m-K),Bridgman at Melt Temp (W/m-K),Chapman-Enskog at Melt Temp (W/m-K),Ideal at Melt Temp (W/m-K),Gheribi-KTCPλ at Min Meas Temp (W/m-K),"Gheribi-KTCPλ, Mix Data at Min Meas Temp (W/m-K)",Gheribi-KT-Emp at Min Meas Temp (W/m-K),Gheribi-KT-Emp-Mix at Min Meas Temp (W/m-K),Gheribi-KT24 at Min Meas Temp (W/m-K),"Gheribi-KT24, Mix Data at Min Meas Temp (W/m-K)",Zhao-PGM at Min Meas Temp (W/m-K),"Zhao-PGM, Mix Data at Min Meas Temp (W/m-K)",Present Model at Min Meas Temp (W/m-K),"Present Model, Mix Data at Min Meas Temp (W/m-K)",Present Model-VelCorr at Min Meas Temp (W/m-K),Bridgman at Min Meas Temp (W/m-K),Chapman-Enskog at Min Meas Temp (W/m-K),Ideal at Min Meas Temp (W/m-K),TC Experimental (W/m-K),Exp. Reference,TC MSTDB (W/m-K),MSTDB Reference
0.73LiF-0.27BeF2,723,884,1.169420063,,1.090141069,,1.016950756,,0.819424289,,,,,,,1.354449617,1.143820978,,1.066277433,,0.993333808,,0.775704419,,,,,,,1.31056502,0.906569331,"0.73LiF-0.27BeF2 (Bobrova, 2023)",,
0.725LiF-0.265BeF2-0.01UF4,723,882,0.366783425,,0.398751691,,0.695358716,,0.781477549,,,,,,,1.345237943,0.3588139,,0.390087556,,0.677412207,,0.740965625,,,,,,,1.301611861,0.769663149,"0.725LiF-0.265BeF2-0.01UF4 (Bobrova, 2023)",,
0.72LiF-0.26BeF2-0.02UF4,723,832,-0.137604799,,-0.030277384,,0.566700784,,0.748207688,,,,,,,1.336026269,-0.135535343,,-0.029822039,,0.555505942,,0.722286521,,,,,,,1.305800389,0.715183076,"0.72LiF-0.26BeF2-0.02UF4 (Bobrova, 2023)",,
0.63NaCl-0.37UCl3,750,802,0.12623785,,0.134146811,,0.114694475,,0.307864679,,,,,,,0.450718019,0.123324648,,0.131051093,,0.112148952,,0.299875972,,,,,,,0.441980463,0.250126547,"63NaCl-37UCl3 (Termini, 2024)",,
0.658NaCl-0.342UCl3,750,869.15,0.111003667,,0.122424655,,0.111139071,,0.310718199,,,,,,,0.458547971,0.104979318,,0.11578047,,0.105408278,,0.291129228,,,,,,,0.437595439,0.206944274,"65.8NaCl-34.2UCl3 (Rose, 2023)",,
0.7120000000000001LiF-0.23BeF2-0.05ZrF4-0.008UF4,723,785.8812214,0.114504036,,0.21993592,,0.464697573,,0.727375212,,,,,,,1.322615999,0.113278487,,0.217581922,,0.461417771,,0.712411952,,,,,,,1.304998804,1.25064806,"0.712LiF-0.23BeF2-0.05ZrF4-0.008UF4 (Rosenthal, 1969)",,
0.675LiF-0.2BeF2-0.12ThF4-0.005UF4,723,811.8266358,-0.684514255,,-0.443026421,,0.111797055,,0.597582377,,,,,,,1.252878441,-0.676583908,,-0.437893799,,0.107537651,,0.583175468,,,,,,,1.230406583,1.264907888,"0.675LiF-0.20BeF2-0.12ThF4-0.005UF4 (Rosenthal, 1969)",,
0.28NaF-0.42KF-0.3UF4,878,1023,0.119718045,,0.139517137,,0.151086489,,0.383631202,,,,,,,0.625953183,0.115742832,,0.1348845,,0.143005032,,0.359669854,,,,,,,0.59800659,0.519012346,"0.42KF-0.28NaF-0.30UF4 (Rudenko, 2024)",,
0.24NaF-0.36KF-0.4UF4,878,1073,0.18851371,,0.190579012,,0.159173427,,0.364751392,,,,,,,0.579241462,0.181334694,,0.183321344,,0.151181269,,0.338641014,,,,,,,0.546542934,0.508234234,"0.36KF-0.24NaF-0.40UF4 (Rudenko, 2024)",,
0.2NaF-0.3KF-0.5UF4,878,1073,0.234236731,,0.219775316,,0.174645637,,0.349790738,,,,,,,0.532529741,0.226478028,,0.212495623,,0.168702772,,0.328531464,,,,,,,0.504394809,0.400285714,"0.30KF-0.20NaF-0.50UF4 (Rudenko, 2024)",,
0.4NaF-0.6KF,1000,,0.673347647,,0.678194667,,0.642142608,,0.468493897,,,,,,,0.734234864,,,,,,,,,,,,,,,,,0.7,Rudenko 2024 [178]
0.465LiF-0.115NaF-0.42KF,735,742.4,0.755448622,,0.763894335,1.024181715,0.695462598,0.905096868,0.650054687,0.772954642,,,,,,1.099387134,0.752960211,,0.761378104,1.020393933,0.693178855,0.90175871,0.645940602,0.766855456,,,,,,1.096428909,0.79004699,"0.465LiF-0.115NaF-0.42KF (Merritt, 2022),0.465LiF-0.115NaF-0.42KF (Gallagher, 2022),0.465LiF-0.115NaF-0.42KF (Rudenko, 2022)",,
0.7120000000000001LiF-0.23BeF2-0.05ZrF4-0.008UF4,735,785.8812214,0.114504036,,0.21993592,,0.464697573,,0.727375212,,0.727375212,,,,,1.322615999,0.113278487,,0.217581922,,0.461417771,,0.712411952,,0.712411952,,,,,1.304998804,1.25064806,"0.465LiF-0.115NaF-0.42KF (Merritt, 2022),0.465LiF-0.115NaF-0.42KF (Gallagher, 2022),0.465LiF-0.115NaF-0.42KF (Rudenko, 2022)",,
0.2046NaCl-0.4131KCl-0.3823MgCl2,700,722.7328058,0.426318277,,0.398686069,0.355111039,0.393698282,0.387446363,0.342344955,,,,,,,0.474304958,0.422447692,,0.39506636,0.351633808,0.390111544,0.383640396,0.337840781,,,,,,,0.470382782,0.471246312,"0.2046NaCl-0.4131KCl-0.3823MgCl2 (Wang, 2021)",,
0.34500000000000003NaF-0.59KF-0.065MgF2,958,993.0137773,0.677914896,,0.672611657,,0.57197135,0.597586206,0.486045197,0.493360109,,,,,,0.744531727,0.669072108,,0.663838045,,0.564489513,0.589882751,0.474186056,0.482836787,,,,,,0.735807251,0.766020385,"0.345NaF-0.59KF-0.065MgF2 (Rudenko, 2024)",,
1.0LiCl,883,965.577342,0.685689054,,0.725192968,,0.686319474,,0.410384186,,,,,,,0.685241154,0.667318272,,0.705763808,,0.667931802,,0.386841204,,,,,,,0.666853482,0.655514261,"LiCl (Nagasaka, 1992)",,
1.0NaCl,1073.8,1169.438669,0.48765041,,0.492992005,,0.486812881,,0.310170753,,,,,,,0.486734668,0.467645335,,0.4727678,,0.466842165,,0.285049248,,,,,,,0.466829971,0.526360702,NaCl (Nagasaka 1992),,
1.0KCl,1042.7,1052.163878,0.374483855,,0.397724017,,0.374235699,,0.261868348,,,,,,,0.374116611,0.372738839,,0.395870706,,0.372491839,,0.259648668,,,,,,,0.372375458,0.367498215,"KCl (Harada, 1992),KCl (Nagasaka, 1992)",,
1.0LiF,1121.2,1121.2,1.349201199,,1.434424704,,1.349841494,,0.80194503,,,,,,,1.356976445,1.349201199,,1.434424704,,1.349841494,,0.80194503,,,,,,,1.356976445,1.259677307,"LiF (Golyshev, 1982),LiF (Golyshev, 1983),LiF (Golyshev, 1992),LiF (Smirnov, 1987),LiF (Khlebnikov, 1981)",,
1.0NaF,1268,1276.210826,0.842289509,,0.902538513,,0.842268101,,0.53047696,,,,,,,0.840546763,0.839827951,,0.899900879,,0.839806605,,0.526564527,,,,,,,0.838090413,1.179152046,"NaF (Smirnov, 1987),NaF (Polyakov, 1975)",,
1.0KF,1131.2,1130.597015,0.582393247,,0.567773432,,0.582682279,,0.364097191,,,,,,,0.58236909,0.582393247,,0.567773432,,0.582682279,,0.364097191,,,,,,,0.58236909,0.622771723,"KF (Smirnov, 1987)",,
1.0MgCl2,987,986.8621064,0.438292205,,0.363487863,,0.438292203,,0.288610578,,,,,,,0.438292203,0.438292205,,0.363487863,,0.438292203,,0.288610578,,,,,,,0.438292203,0.543906858,"MgCl2 (Filatov, 2005)",,
