r(A),Li-F,Li-Li,F-F
0,0,0,0
0.010282687,0,0,0
0.020565374,0,0,0
0.030848061,0,0,0
0.041130748,0,0,0
0.051413434,0,0,0
0.061696121,0,0,0
0.071978808,0,0,0
0.082261495,0,0,0
0.092544182,0,0,0
0.102826869,0,0,0
0.113109556,0,0,0
0.123392243,0,0,0
0.13367493,0,0,0
0.143957617,0,0,0
0.154240303,0,0,0
0.16452299,0,0,0
0.174805677,0,0,0
0.185088364,0,0,0
0.195371051,0,0,0
0.205653738,0,0,0
0.215936425,0,0,0
0.226219112,0,0,0
0.236501799,0,0,0
0.246784486,0,0,0
0.257067172,0,0,0
0.267349859,0,0,0
0.277632546,0,0,0
0.287915233,0,0,0
0.29819792,0,0,0
0.308480607,0,0,0
0.318763294,0,0,0
0.329045981,0,0,0
0.339328668,0,0,0
0.349611354,0,0,0
0.359894041,0,0,0
0.370176728,0,0,0
0.380459415,0,0,0
0.390742102,0,0,0
0.401024789,0,0,0
0.411307476,0,0,0
0.421590163,0,0,0
0.43187285,0,0,0
0.442155537,0,0,0
0.452438223,0,0,0
0.46272091,0,0,0
0.473003597,0,0,0
0.483286284,0,0,0
0.493568971,0,0,0
0.503851658,0,0,0
0.514134345,0,0,0
0.524417032,0,0,0
0.534699719,0,0,0
0.544982406,0,0,0
0.555265092,0,0,0
0.565547779,0,0,0
0.575830466,0,0,0
0.586113153,0,0,0
0.59639584,0,0,0
0.606678527,0,0,0
0.616961214,0,0,0
0.627243901,0,0,0
0.637526588,0,0,0
0.647809275,0,0,0
0.658091961,0,0,0
0.668374648,0,0,0
0.678657335,0,0,0
0.688940022,0,0,0
0.699222709,0,0,0
0.709505396,0,0,0
0.719788083,0,0,0
0.73007077,0,0,0
0.740353457,0,0,0
0.750636143,0,0,0
0.76091883,0,0,0
0.771201517,0,0,0
0.781484204,0,0,0
0.791766891,0,0,0
0.802049578,0,0,0
0.812332265,0,0,0
0.822614952,0,0,0
0.832897639,0,0,0
0.843180326,0,0,0
0.853463012,0,0,0
0.863745699,0,0,0
0.874028386,0,0,0
0.884311073,0,0,0
0.89459376,0,0,0
0.904876447,0,0,0
0.915159134,0,0,0
0.925441821,0,0,0
0.935724508,0,0,0
0.946007195,0,0,0
0.956289881,0,0,0
0.966572568,0,0,0
0.976855255,0,0,0
0.987137942,0,0,0
0.997420629,0,0,0
1.007703316,0,0,0
1.017986003,0,0,0
1.02826869,0,0,0
1.038551377,0,0,0
1.048834063,0,0,0
1.05911675,0,0,0
1.069399437,0,0,0
1.079682124,0,0,0
1.089964811,0,0,0
1.100247498,0,0,0
1.110530185,0,0,0
1.120812872,0,0,0
1.131095559,0,0,0
1.141378246,0,0,0
1.151660932,0,0,0
1.161943619,0,0,0
1.172226306,0,0,0
1.182508993,0,0,0
1.19279168,0,0,0
1.203074367,0,0,0
1.213357054,0,0,0
1.223639741,0,0,0
1.233922428,0,0,0
1.244205115,0,0,0
1.254487801,0,0,0
1.264770488,0,0,0
1.275053175,0,0,0
1.285335862,0,0,0
1.295618549,0,0,0
1.305901236,0,0,0
1.316183923,0,0,0
1.32646661,0,0,0
1.336749297,0,0,0
1.347031983,0,0,0
1.35731467,0,0,0
1.367597357,0,0,0
1.377880044,0,0,0
1.388162731,0,0,0
1.398445418,0,0,0
1.408728105,0,0,0
1.419010792,0,0,0
1.429293479,0,0,0
1.439576166,0,0,0
1.449858852,0,0,0
1.460141539,0,0,0
1.470424226,0,0,0
1.480706913,0,0,0
1.4909896,0,0,0
1.501272287,0,0,0
1.511554974,0.018700997,0,0
1.521837661,0.028763998,0,0
1.532120348,0.038826999,0,0
1.542403035,0.048889999,0,0
1.552685721,0.058953,0,0
1.562968408,0.072081183,0,0
1.573251095,0.103044263,0,0
1.583533782,0.13118823,0,0
1.593816469,0.156345732,0,0
1.604099156,0.181503234,0,0
1.614381843,0.212923361,0,0
1.62466453,0.276397674,0,0
1.634947217,0.333974063,0,0
1.645229904,0.385708207,0,0
1.65551259,0.437442352,0,0
1.665795277,0.489176496,0,0
1.676077964,0.540910641,0,0
1.686360651,0.595859717,0,0
1.696643338,0.653786479,0,0
1.706926025,0.711713241,0,0
1.717208712,0.769640002,0,0
1.727491399,0.827566764,0,0
1.737774086,0.879754645,0,0
1.748056772,0.926973341,0,0
1.758339459,0.974192037,0,0
1.768622146,1.021410734,0,0
1.778904833,1.06862943,0,0
1.78918752,1.104866611,0,0
1.799470207,1.132217332,0,0
1.809752894,1.159568052,0,0
1.820035581,1.186918773,0,0
1.830318268,1.214269493,0,0
1.840600955,1.228247956,0,0
1.850883641,1.232118341,0.002061498,0
1.861166328,1.235988726,0.00257755,0
1.871449015,1.239859111,0.003093601,0
1.881731702,1.237091964,0.003609652,0
1.892014389,1.225038479,0.004125704,0
1.902297076,1.212984994,0.004641755,0
1.912579763,1.20093151,0.005157806,0
1.92286245,1.188878025,0.005673858,0
1.933145137,1.17682454,0.006189909,0
1.943427824,1.157257341,0.00670596,0
1.95371051,1.132744903,0.007222011,0
1.963993197,1.108232465,0.007738063,0
1.974275884,1.083720027,0.009309682,0
