Cu2+-Cu2+,,Cu2+-Cl-,,Cl-_Cl-,
X,Y,X,Y,X,Y
0.963811666,0.00333905,0.049159572,0.001589078,0.068885384,-0.023534846
1.102245496,0.003603911,0.157916397,-0.004493258,0.177654822,-0.023326741
1.240679327,0.003868771,0.266685836,-0.004285153,0.28642426,-0.023118636
1.379113157,0.004133632,0.375455274,-0.004077048,0.395193698,-0.022910532
1.517546988,0.004398493,0.484224712,-0.003868943,0.48913094,-0.022730805
1.655980818,0.004663353,0.592979212,-0.011111334,0.612732575,-0.022494322
1.794414648,0.004928214,0.701763589,-0.003452734,0.721502013,-0.022286217
1.932848479,0.005193075,0.81053532,-0.002100912,0.830271451,-0.022078113
2.109140565,-0.017534491,0.910504047,0.047269972,0.904432432,-0.021936223
2.219585352,-0.003693946,0.95505685,0.216297819,1.028034066,-0.02169974
2.353103845,0.010889681,0.974458643,0.381832795,1.176356027,-0.021415961
2.491631568,0.057983375,0.995799895,0.545948648,1.304901727,-0.021170019
2.63022936,0.140023959,1.006080587,0.741757522,1.448279623,-0.020895699
2.768978501,0.297549828,1.014416265,0.936214728,1.586713453,-0.020630838
2.873155795,0.473269232,1.027044692,1.128745594,1.735035414,-0.020347059
2.957588909,0.664951482,1.035677608,1.324673629,1.868525179,-0.020091658
3.027146359,0.834925801,1.043206797,1.518083385,2.047645248,-0.002275575
3.091769354,1.009683377,1.056401902,1.797542897,2.165336503,0.0639672
3.151449184,1.184880811,1.061759655,2.003878798,2.244738284,0.212115454
3.216101907,1.374465853,1.077177627,2.296063182,2.289548291,0.368518029
3.280722199,1.547875478,1.071922736,2.141029316,2.324484882,0.532240533
3.345332281,1.716192841,1.090131275,2.592086994,2.354464584,0.689558297
3.439629652,1.895987105,1.077417964,2.415931017,2.379498119,0.845818195
3.573323844,1.99820006,1.100541875,2.852687403,2.399545548,0.981100499
3.711607727,1.923678575,1.108522693,3.134356057,2.419599282,1.119528023
3.849708029,1.757596236,1.088409681,2.966363464,2.439678242,1.270536428
3.992758002,1.594319107,1.118917843,3.387250677,2.459731976,1.408963952
4.130952196,1.475065602,1.129310975,3.639138826,2.479810936,1.559972357
4.269201886,1.383490034,1.139708647,3.893291533,2.499877283,1.704690322
4.407485628,1.308898655,1.150105815,4.147192623,2.51994363,1.849408286
4.545789551,1.24437198,1.160500964,4.400087243,2.545017104,2.025587912
4.689026188,1.174193369,1.172526681,4.644279356,2.575038848,2.20387381
4.807603037,1.134161574,1.181129825,4.825358845,2.605043775,2.373772455
4.965635995,1.046118532,1.197716047,4.995681132,2.634973028,2.505928457
5.10393249,0.977887487,1.234945409,5.158067565,2.674831612,2.65865215
5.242214972,0.902667064,1.249705609,5.327674941,2.754215736,2.797993787
5.380515671,0.836532832,1.312352059,5.103736167,2.853006591,2.753069715
5.518813568,0.769000725,1.321432815,4.935919246,2.921931459,2.607543505
5.657125478,0.708457996,1.33712824,4.779377821,2.971087072,2.465474147
5.795469621,0.663990837,1.349984792,4.586646094,3.01530871,2.328427681
