Na-Na,,Na-N,,N-N,,N-O,,O-O,,Na-O,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.62739726,0,1.149013526,0,1.164355181,0,1.102988562,0,2.100196129,0.008431514,0.949572013,0
0.796155464,0,1.31777173,0,1.333113385,0,1.271746765,0,2.268954333,0.012690604,1.118330217,0
0.964913668,0,1.486529934,0,1.501871589,0,1.440504969,0,2.450862526,0.067560354,1.28708842,0
1.133671871,0,1.655288137,0,1.670629792,0,1.609263173,0,2.598799913,0.234855415,1.455846624,0
1.302430075,0,1.824046341,0,1.839387996,0,1.778021377,0,2.721533152,0.414642275,1.624604828,0
1.471188279,0,1.992804545,0,2.0081462,0,1.94677958,0,2.813583081,0.572761011,1.793363031,0.006388636
1.639946483,0,2.167955105,0.005612239,2.176904404,0,2.115537784,0,2.93631632,0.751962246,1.940642918,0.106583741
1.808704686,0,2.445383364,0.101020304,2.345662607,0,2.284295988,0,3.097403697,0.926797913,1.992804545,0.308429141
1.97746289,0,2.476066674,0.213753107,2.514420811,0,2.453054191,0.022360225,3.2661619,1.023159837,2.031158682,0.632474946
2.146221094,0,2.522091638,0.368943719,2.683179015,0,2.621812395,0.06654829,3.434920104,1.056700175,2.0081462,0.486068709
2.314979297,0,2.575787431,0.632474946,2.851937218,0.044720451,2.790570599,0.15332726,3.603678308,1.047117221,2.084854474,1.14001657
2.483737501,0,2.545104121,0.47435621,3.020695422,0.124578399,2.943987148,0.265483311,3.772436511,1.035937108,2.054171164,1.013131164
2.652495705,0,2.630180571,0.991835711,3.189453626,0.243832934,3.089732869,0.409937465,3.941194715,1.011979724,2.054171164,0.884293675
2.821253909,0,2.591129085,0.814018681,3.342870175,0.377402746,3.235478591,0.566104119,4.109952919,1.016771201,2.054171164,0.755456186
2.990012112,0,2.677042353,1.310628639,3.457932586,0.500709333,3.35821183,0.734541009,4.278711123,1.045520062,2.139247614,1.727593604
3.158770316,0.01597159,2.644824877,1.188818649,3.580665825,0.669369318,3.457932586,0.866724927,4.447469326,1.099823466,2.100196129,1.575331116
3.29684521,0.087843743,2.729203979,1.72564152,3.726411547,0.82573118,3.557653343,0.999745451,4.61622753,1.157321189,2.100196129,1.446493627
3.404236794,0.202458911,2.69852067,1.598756114,3.849144786,0.976320453,3.680386582,1.163441568,4.784985734,1.19618539,2.100196129,1.317656138
3.503957551,0.395296841,2.69852067,1.469918625,3.971878025,1.120495738,3.833803131,1.309137957,4.953743937,1.191393913,2.186109396,2.210734188
3.595310132,0.543566431,2.767558117,2.046759201,4.117623746,1.245038644,4.002561335,1.40124079,5.122502141,1.14560869,2.153891921,2.055543576
3.6573741,0.740815562,2.744545634,1.89156859,4.271040295,1.402571756,4.171319538,1.375153861,5.291260345,1.087578581,2.153891921,1.926706087
3.703399064,0.893078049,2.821253909,2.36006855,4.416786017,1.524576954,4.340077742,1.296360686,5.460018549,1.026354155,2.238271023,2.664593524
3.749424029,1.06583741,2.790570599,2.196093564,4.570202565,1.649332815,4.508835946,1.225020919,5.628776752,0.992813816,2.207587713,2.535756035
3.849144786,1.273315963,2.867278873,2.601011387,4.738960769,1.647469463,4.67759415,1.161666947,5.797534956,0.976842227,2.207587713,2.406918546
3.941194715,1.489439457,2.913303838,2.795104227,4.907718973,1.589743575,4.846352353,1.118543655,5.96629316,0.972583136,2.255898172,2.864236625
4.048586299,1.73428646,2.943987148,2.922268502,5.061135522,1.469918625,5.015110557,1.116946496,6.135051364,0.953417229,2.340578454,3.032249611
4.186661193,1.858028252,3.013024595,3.080387239,5.214552071,1.322980001,5.183868761,1.081808999,6.303809567,0.953417229,2.453054191,2.816856011
4.355419397,1.856431093,3.143428661,3.215613364,5.383310274,1.201595921,5.352626964,1.114816951,6.472567771,0.974712682,2.476066674,2.658737275
4.485823464,1.739306103,3.2661619,3.170573481,5.552068478,1.076485136,5.521385168,1.077549909,6.641325975,0.976842227,2.499079156,2.500618538
4.608556703,1.582358616,3.304516037,3.021824744,5.720826682,0.968410713,5.690143372,1.055189683,6.810084178,0.976842227,2.522091638,2.374709174
4.769644079,1.391657837,3.35821183,2.864542614,5.889584885,0.905056741,5.858901576,1.005677756,6.978842382,0.978439386,2.545104121,2.24294356
4.9153898,1.281054579,3.381224312,2.723156019,6.058343089,0.864595381,6.027659779,0.949777192,7.147600586,0.994410975,2.568116603,2.099465447
