r (A),g(r)_weighted_F-F,g(r)_weighted_K-F,g(r)_weighted_Mg-F,g(r)_weighted_Mg-Mg,g(r)_weighted_Na-F,S_i_K-F,S_i_Mg-F,S_i_Na-F,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.05985022809090909,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.11970045618181818,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.17955068427272727,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.23940091236363636,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.2992511404545455,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.35910136854545455,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.4189515966363636,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.47880182472727273,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.5386520528181818,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.598502280909091,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.658352509,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.7182027370909091,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.7780529651818182,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.8379031932727272,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.8977534213636363,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
0.9576036494545455,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
1.0174538775454545,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
1.0773041056363637,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
1.1371543337272727,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
1.197004561818182,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
1.256854789909091,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
1.316705018,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.55146,3.95351295352575
1.3765552460909092,0.0,0.0,0.0,0.0,0.0011560167746090158,1.0,1.0,1.0,2.55146,3.95351295352575
1.4364054741818182,0.0,0.0,0.0,0.0,0.0011560167746090158,1.0,1.0,1.0,2.55146,3.95351295352575
1.4962557022727272,0.0,0.0,0.0,0.0,0.0011560167746090158,1.0,1.0,1.0,2.55146,3.95351295352575
1.5561059303636364,0.0,0.0,0.0,0.0,0.0012304220802189397,1.0,1.0,1.0,2.55146,3.95351295352575
1.6159561584545454,0.0,0.0,0.0,0.0,0.0011960408530579327,1.0,1.0,1.0,2.55146,3.95351295352575
1.6758063865454544,0.0,0.0,0.007811924301736324,0.0,0.0011560167746090158,1.0,1.0,1.0,2.55146,3.95351295352575
1.7356566146363637,0.0,0.0,0.02597347580805382,0.0,0.00228299654050761,1.0,1.0,1.0,2.55146,3.95351295352575
1.7955068427272727,0.0,0.0,0.09192875831332792,0.0,0.006852570647796121,1.0,1.0,1.0,2.55146,3.95351295352575
1.855357070818182,0.0,0.0,0.17171084704970632,1.148541288146699e-05,0.0224005470699529,1.0,1.0,1.0,2.55146,3.95351295352575
1.915207298909091,0.0,0.0,0.23608010312905559,1.3292973729939696e-05,0.07530967993356219,1.0,1.0,1.0,2.55146,3.95351295352575
1.975057527,0.0,0.002460124672561638,0.26260782688992174,1.3875748689715244e-05,0.16212018304499776,1.0,1.494486664437278e-05,1.0,2.55146,3.95351295352575
2.034907755090909,0.0,0.0034127877355407082,0.23117765204362836,1.7625407554260862e-05,0.29118517945612066,1.0,1.494486664437278e-05,1.0,2.55146,3.95351295352575
2.094757983181818,0.0,0.018289082138003697,0.1802328732670868,1.779943597737573e-05,0.4192186224051811,1.0,1.494486664437278e-05,1.0,2.55146,3.95351295352575
2.1546082112727274,0.0,0.05013591254452017,0.12206614547729443,1.4980608816996173e-05,0.5289091240898881,1.0,1.494486664437278e-05,1.0,2.55146,3.95351295352575
2.214458439363636,0.0,0.12335532737335422,0.08613692690267521,1.3292973729939696e-05,0.5643340645459559,1.0,1.494486664437278e-05,0.5578385688799763,2.55146,3.95351295352575
2.2743086674545454,0.0,0.22217439339342543,0.057104243712606785,1.3292973729939696e-05,0.5548804170384734,1.0,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
2.3341588955454546,0.022314443794185738,0.363735857012106,0.03757160730524162,1.3292973729939696e-05,0.5044016251652957,1.0,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
2.394009123636364,0.03035774653922188,0.4930481097266086,0.026617330207879587,1.3292973729939696e-05,0.43454260693504104,1.0,1.494486664437278e-05,0.010955421024002479,2.55146,3.95351295352575
