r (A),g(r)_weighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_weighted_Eu-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Eu-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.06968327505050505,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.1393665501010101,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.20904982515151516,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.2787331002020202,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.3484163752525252,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.4180996503030303,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.48778292535353535,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.5574662004040404,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.6271494754545455,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.6968327505050504,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.7665160255555555,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.8361993006060606,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.9058825756565656,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
0.9755658507070707,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.0452491257575758,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.1149324008080808,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.1846156758585857,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.254298950909091,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.323982225959596,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.393665501010101,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.463348776060606,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.533032051111111,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.602715326161616,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.6723986012121212,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.7420818762626262,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.8117651513131312,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.8814484263636362,0.0,0.0,0.0,1.0,1.0,1.0,2.63068,0
1.9511317014141414,0.033175650506800845,0.0,0.0,1.0,1.0,1.0,2.63068,0
2.0208149764646466,0.12881411612970767,0.0,0.00020418374278924025,1.0,1.0,1.0,2.63068,0
2.0904982515151516,0.3776886645456284,0.0003192481177870112,3.339830715267505e-05,1.0,1.0,1.0,2.63068,0
2.1601815265656565,0.8078078214041686,0.00033964818846240894,2.7377184988955973e-05,1.0,1.0,1.0,2.63068,0
2.2298648016161615,1.0641275241958512,0.00036004825913780666,2.9021527379354317e-05,1.0,1.0,1.0,2.63068,0
2.2995480766666665,1.1458814185887474,0.0003804483298132045,0.00027267953326212143,2.2902899648191746e-21,1.0,1.0,2.63068,0
2.3692313517171715,1.1133128951984024,0.0004008484004886022,0.0011107292899473565,2.2902899648191746e-21,1.0,1.0,2.63068,0
2.4389146267676765,0.9375835002347798,0.00042124854432967524,0.01275961698874546,2.2902899648191746e-21,1.0,1.0,2.63068,0
2.508597901818182,0.7294795709419999,0.0008696894167666475,0.04062631832199629,2.2902899648191746e-21,1.0,1.0,2.63068,0
2.578281176868687,0.5599010044948354,0.0035867176959033524,0.09100765378856052,2.2902899648191746e-21,1.0,1.0,2.63068,0
2.647964451919192,0.422324907987695,0.02312701407588968,0.11754798295636168,2.2902899648191746e-21,1.0,1.0,2.63068,0
2.717647726969697,0.3276110048609281,0.063819213481008,0.12128253981860952,2.2902899648191746e-21,1.0,3.3851581042609254e-56,2.63068,0
