Li-Cl,,K-Cl,
X,Y,X,Y
0.13757365,0.196934396,0.07187781,0.191496555
0.2800749,0.199480697,0.19646601,0.195122436
0.44996851,0.205243848,0.32105421,0.191381833
0.62536995,0.193790092,0.48131085,0.195591866
0.80424868,0.200912146,0.61814915,0.19492829
0.94787423,0.204327738,0.77205672,0.191241386
1.11042343,0.19865504,0.91194388,0.192582521
1.2064022,0.203852066,1.0589997,0.198408562
1.32130352,0.203640656,1.24348607,0.190957141
1.50323061,0.203305923,1.39469174,0.191516938
1.71603384,0.276038134,1.63402216,0.190777336
1.78721656,0.504237623,1.94070081,0.19063614
1.82092676,0.79953542,2.07487272,0.194257607
1.8691898,1.304507233,2.20904462,0.190512593
1.88008175,1.537592092,2.35470168,0.229305617
1.89921473,1.704662207,2.38761631,0.308562886
1.934601,2.504174986,2.47538865,0.41815455
1.93462007,2.440422165,2.53489069,0.632351522
1.94330632,2.718166117,2.5540581,0.823871242
1.9563933,2.942259759,2.56364181,0.868065725
1.96726525,3.242186782,2.57322552,0.926993172
1.96819553,3.186015215,2.58280922,1.000653585
1.98362628,3.514580476,2.59239293,1.059581033
1.99233245,3.725763112,2.5988185,1.11489389
1.99837244,3.95047154,2.62899024,1.309195824
2.01084271,4.14222853,2.64300943,1.522362848
2.01088641,3.996186826,2.65607213,1.61556575
2.01452686,4.041116012,2.66427074,1.693065435
2.02722979,4.3275589,2.67145852,1.781459916
2.04031963,4.542103663,2.69481949,1.977148126
2.0512178,4.754405663,2.72133405,2.193378158
2.05446698,4.885837145,2.72773412,2.243834077
2.05558382,4.816746169,2.73459133,2.300843113
2.05993245,4.937222507,2.74236284,2.395063384
2.07448889,5.134913614,2.74419143,2.349241956
2.0926942,5.349378751,2.75242009,2.454653625
2.12825554,5.563811955,2.77893465,2.64907437
2.16113539,5.581304538,2.81660361,2.869707976
2.19401461,5.600903492,2.83470665,2.94578149
2.23518054,5.401775826,2.85233949,3.007466513
2.26538966,5.186343956,2.86853558,3.05523401
2.28385455,4.969429144,2.87976835,3.110861428
2.2917036,4.905019975,2.91346665,3.154578268
2.29990599,4.822756167,2.93932815,3.125612249
2.30113572,4.783435006,2.97145909,3.086864805
2.32155169,4.587805983,2.98885682,3.053135897
2.33414057,4.383164062,3.01985143,3.017554451
2.35064741,4.168283995,3.04152023,2.986826411
2.35889137,4.092439523,3.05962327,2.98158947
2.37262375,3.991308517,3.10899521,2.784439835
2.39461165,3.775716242,3.11722387,2.753865564
2.42143257,3.57236167,3.16111004,2.568314155
2.43585469,3.373623082,3.17583256,2.521899377
2.44305584,3.307372482,3.19219607,2.486075786
2.4502592,3.233762173,3.20450391,2.435217704
2.47427405,2.976128291,3.21397506,2.398528764
2.49905232,2.757796517,3.22966578,2.350791605
2.51278312,2.661931439,3.23791083,2.308722515
2.52926958,2.515157358,3.28453989,2.100915469
2.53667743,2.424035552,3.33992213,1.884282907
2.54627016,2.365140257,3.37106918,1.788504294
2.57505274,2.173734954,3.40248396,1.708012899
2.60384414,1.952890811,3.64111501,1.234236247
2.64220624,1.746748471,3.66580098,1.203303014
2.67204385,1.605294074,3.69451932,1.162204363
2.68028119,1.551566494,3.73163023,1.123859729
2.73789598,1.331344867,3.76865919,1.075351571
2.80516809,1.128233361,3.78923083,1.045825771
2.8722335,0.995635265,3.92088933,0.927699844
2.99291552,0.796068417,3.94008953,0.915041149
3.02307023,0.762451446,4.05254784,0.855253947
3.14916402,0.647773363,4.08546247,0.843057452
3.17109015,0.63860542,4.11837709,0.833906291
3.29168544,0.582915801,4.15129172,0.822881078
3.31361115,0.575152104,4.18420635,0.817478023
3.43419636,0.553164418,4.21712097,0.80856112
3.4670844,0.543274182,4.23632117,0.801056069
3.49997013,0.541107305,4.35426525,0.785540834
3.53285292,0.548770158,4.38717988,0.792787633
3.55203757,0.543117874,4.42009451,0.788907246
3.669875,0.545709554,4.45300913,0.787837937
3.69453714,0.551281163,4.48592376,0.788174168
3.81237121,0.565106821,4.51883839,0.78979881
3.83429377,0.567874978,4.53803858,0.788267302
3.95486049,0.607674166,4.65049689,0.805433384
3.98774201,0.619549761,4.67243998,0.807180206
4.02062333,0.632127479,4.78764117,0.831021336
4.05350444,0.64540732,4.8205558,0.838033879
4.0809068,0.651676011,4.85347042,0.851137093
4.20146784,0.710432535,4.88638505,0.861194972
4.22338998,0.714604939,4.91929968,0.871838492
4.35490727,0.791596508,4.9522143,0.882247755
4.38778627,0.811897585,4.97415739,0.885048731
4.42066528,0.832198663,5.08387281,0.93536338
4.45354428,0.85249974,5.10855878,0.940974172
4.47820369,0.867198956,5.23198863,1.002058309
4.59601654,0.951939095,5.26490326,1.017878899
4.62067722,0.962425569,5.29781788,1.036815102
4.73300795,1.051388533,5.33073251,1.054041231
4.75766779,1.064683502,5.36364714,1.070400612
4.88095952,1.155966709,5.39656176,1.087251931
4.91383797,1.178140116,5.41576196,1.091459709
4.94671655,1.199845441,5.5227345,1.157236555
4.97959409,1.225061384,5.54742047,1.164487143
5.0069933,1.241861928,5.79153728,1.281503035
5.12206803,1.318883749,5.82445191,1.290623887
5.1467287,1.329370223,5.85736654,1.300447509
5.26454827,1.391642408,5.89028116,1.320344164
5.28920853,1.403533129,5.92319579,1.328996503
5.40703461,1.444039482,5.95611042,1.339640023
5.43991656,1.45451083,5.97531062,1.344199186
5.45909848,1.457986153,6.08776892,1.368744349
5.53308838,1.463115941,6.10971201,1.377870253
5.79069598,1.437014465,6.23862763,1.374999821
5.82358318,1.429932723,6.28690241,1.365982142
5.85646912,1.427063723,6.30719977,1.363021164
5.88935674,1.418577734,6.36205748,1.360887599
5.91676267,1.412910323,6.39497211,1.358764135
6.03735481,1.367752559,6.52663061,1.360109059
6.05927926,1.364201603,6.5485737,1.356585107
6.17439118,1.316947552,6.66377489,1.330061076
6.19905647,1.311987308,6.69668952,1.319270119
6.32239051,1.261909636,6.72960414,1.314335577
6.35527939,1.249210905,6.76251877,1.305301545
6.38816806,1.237214298,6.7954334,1.295330487
6.42105673,1.225217691,6.82834802,1.290161688
6.44572286,1.217448952,6.84754822,1.284764947
6.5635729,1.177913218,6.96000653,1.24723212
6.58549756,1.173660139,6.9846925,1.243941162
6.70060549,1.139746436,7.22880931,1.180813752
6.72527057,1.135488315,7.26172394,1.17728475
6.84311703,1.107888682,7.29463857,1.170241898
6.87600339,1.103615434,7.32755319,1.165190228
6.90889122,1.094427322,7.36046782,1.153110861
6.94177716,1.091558321,7.39338245,1.143491187
6.96918257,1.08764622,7.41258265,1.141139782
7.08976893,1.061796853,7.52504095,1.114617013
7.11443317,1.060347227,7.54972692,1.113902878
7.31448776,1.048043047,7.667671,1.096279333
7.3418939,1.041673513,7.70058563,1.094624383
7.47343083,1.053016527,7.73350026,1.08430194
7.62963422,1.055467405,7.76641488,1.071402674
7.7803541,1.066845336,7.79932951,1.065765362
7.81323857,1.068891201,7.82675836,1.065049964
7.84612052,1.079362548,7.96115976,1.071313013
7.87626465,1.081132606,,
