K-K,,K-Cl,,K-Ca,,Cl-Cl,,Ca-Cl,,Ca-Ca,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0.032343051,0.027559708,0.109990177,0.020391036,0.18793256,0.052567409,0.187608191,0.051612111,0.187953533,0.058513926,0.110114627,0.030524913
0.188962457,0.025786355,0.266614998,0.017530374,0.344649547,0.051883801,0.344325389,0.051039942,0.344572288,0.05805497,0.266976009,0.027651142
0.345581863,0.025513677,0.423235053,0.017187285,0.501366534,0.051200194,0.501042587,0.050467772,0.501191042,0.057596014,0.423842184,0.027306002
0.502201269,0.025240999,0.579855108,0.016844196,0.658083521,0.050516587,0.657759785,0.049895603,0.657809796,0.057137058,0.58070836,0.026960862
0.658820675,0.024968321,0.736475163,0.016501108,0.814800508,0.049832979,0.814476983,0.049323434,0.814428551,0.056678102,0.737574535,0.026615722
0.81544008,0.024695643,0.90238925,0.031243036,0.984953943,0.055681771,1.127911379,0.048179095,1.127666059,0.05576019,0.903805923,0.040988342
1.128678892,0.024150287,1.206335329,0.015471841,1.128234482,0.048465764,1.284628577,0.047606925,1.284284814,0.055301233,1.208173062,0.025580301
1.285298298,0.023877609,1.362955384,0.015128752,1.284951469,0.047782157,1.441345775,0.047034756,1.440903568,0.054842277,1.365039238,0.025235161
1.441917704,0.023604931,1.519575439,0.014785663,1.441668456,0.04709855,1.598062973,0.046462587,1.597522322,0.054383321,1.521905413,0.024890021
1.59853711,0.023332253,1.676195495,0.014442575,1.598385443,0.046414942,1.754780171,0.045890417,1.754141077,0.053924365,1.678771589,0.024544881
1.755156515,0.023059575,1.83281555,0.014099486,1.75510243,0.045731335,1.924575016,0.054711362,1.920119256,0.079418282,1.835637764,0.024199741
1.924827538,0.028391708,2.146050895,0.015930881,1.924909074,0.06078209,2.068195495,0.034675897,2.067357072,0.037851342,1.992532701,0.039026385
2.062801777,0.025096544,2.302675716,0.013070219,2.062959714,0.055130936,2.224931766,0.044173909,2.23459779,0.164664725,2.149370115,0.023509461
2.225014733,0.022241541,2.459295771,0.01272713,2.225253391,0.043680513,2.381648964,0.04360174,2.284946704,0.69494829,2.306236291,0.023164321
2.381634139,0.021968863,2.615915826,0.012384041,2.381970378,0.042996906,2.538366162,0.04302957,2.301305619,1.185928005,2.463102466,0.022819181
2.538253545,0.021696185,2.772535881,0.012040953,2.538687365,0.042313298,2.69508336,0.042457401,2.336412889,1.749597618,2.619968642,0.022474041
2.69487295,0.021423507,3.076396188,0.041586075,2.695404352,0.041629691,2.851929296,0.109858956,2.36212638,2.350677522,2.776834818,0.0221289
2.851492356,0.021150829,3.242267388,0.078986162,2.852121339,0.040946084,3.005613996,0.232029043,2.384585347,2.848206604,2.946827103,0.050202093
3.003761223,0.041495004,3.400598803,0.159560985,3.011462679,0.052294601,3.100641797,0.413576008,2.390862698,3.329906255,3.081258658,0.036630948
3.19873817,0.059719281,3.541949772,0.345694849,3.165555313,0.039578869,3.179377074,0.612176006,2.411980358,3.758191535,3.247433344,0.02109348
3.331230284,0.111719294,3.664720028,0.497774423,3.322281795,0.043908382,3.258131424,0.820846186,2.418121409,4.143875749,3.40429952,0.02074834
3.47361944,0.21515552,3.791099253,0.713288673,3.47903676,0.063277257,3.34809825,1.039186028,2.443820558,4.734852246,3.578330113,0.063644488
3.5693313,0.34254631,3.883961966,0.905139323,3.602778978,0.151915848,3.430584643,1.248202234,2.453202863,5.214738611,3.711197822,0.15136095
3.667192429,0.466955922,3.98429993,1.087910372,3.712586228,0.245528522,3.520480629,1.429138545,2.472485164,5.663563941,3.832484848,0.303736515
3.725950705,0.59888916,4.118787896,1.288013761,3.788718805,0.379426672,3.664447985,1.592254504,2.480625487,6.144175621,3.928107145,0.505094947
3.808610947,0.715797944,4.25767693,1.461421343,3.884914387,0.6029283,3.821308226,1.667208695,2.499898474,6.586439774,3.972050191,0.699703631
3.84341526,0.825286668,4.414053964,1.589474488,3.963704883,0.830683485,3.97793483,1.618803164,2.519489877,7.089744621,4.024144433,0.925360543
3.908673346,0.939224398,4.570569186,1.644518009,4.042495378,1.05843867,4.13447561,1.525081817,2.535285207,7.563616253,4.099361349,1.198830144
3.990712082,1.062351348,4.727227362,1.624034335,4.121262137,1.273661053,4.28032639,1.391436951,2.57471725,7.957730752,4.152105946,1.439187867
4.078344369,1.185039796,4.88394272,1.573339782,4.199976676,1.461311273,4.447457038,1.28477067,2.65606584,7.717505248,4.204762821,1.63327165
4.156654071,1.304957505,5.027615937,1.517638673,4.278743435,1.676533657,4.603997817,1.191049322,2.691257632,7.416593041,4.283611036,1.85207849
4.315883801,1.459249869,5.240270362,1.390492288,4.35748171,1.876716678,4.76060535,1.13257361,2.70382514,7.075564787,4.357264125,2.088698393
4.469892883,1.582037135,5.458845252,1.239762127,4.501504488,2.069095183,4.917303476,1.121931259,2.738009,6.638490417,4.493508946,2.243556045
4.626512289,1.599772565,5.615632087,1.151303977,4.658359146,2.141101824,5.074015905,1.118841544,2.767960663,6.284781908,4.663500033,2.27099708
4.783131695,1.582992455,5.772404626,1.070398546,4.814938462,2.067727968,5.230671119,1.085541285,2.775672081,5.587621284,4.820308685,2.240308373
4.939751101,1.513688699,5.929200991,0.976905248,4.971465559,1.966781948,5.387312027,1.04468839,2.780445702,5.88565906,4.954129569,2.150879337
5.096370506,1.436881566,6.085940174,0.91362283,5.127892962,1.813198161,5.54391956,0.986212678,2.805645258,5.249067886,5.085574418,1.957359802
5.252989912,1.349569703,6.242665062,0.85789313,5.271251122,1.654658221,5.700522324,0.92521942,2.831189031,4.854958496,5.194728171,1.744232138
5.409609318,1.254754462,6.399370889,0.812233724,5.397129821,1.461102393,5.857163233,0.884366525,2.856532011,4.319401399,5.287624272,1.49260857
5.536277603,1.175344892,6.556052891,0.779162184,5.527395001,1.285073498,6.013818446,0.851066266,2.881986144,3.862145711,5.367513933,1.275692125
5.678233438,1.100016133,6.712682476,0.773783948,5.675115905,1.13152769,6.170507035,0.835388825,2.904930361,3.475621525,5.445582707,1.08334363
5.843900579,1.012915712,6.869307297,0.770923286,5.778450163,1.02168615,6.327214697,0.829781565,2.928692708,3.101321726,5.53251359,0.895428462
6.009983707,0.931327008,7.025932117,0.768062624,5.870600709,0.913437953,6.483950968,0.839279577,2.961269617,2.716610878,5.658818394,0.73549861
6.166603113,0.866262213,7.182514051,0.787860121,6.06623426,0.773887107,6.640701542,0.856330225,3.017427736,2.276885873,5.801237938,0.539986968
6.323222519,0.820969267,7.339067395,0.822763057,6.222794587,0.690487009,6.797485493,0.89100369,3.044505591,1.888970916,5.967228413,0.427277839
6.479841925,0.772674969,7.495606443,0.865218713,6.379449859,0.657218118,6.954274213,0.928194701,3.100465721,1.468503424,6.124013097,0.383945979
