Li-Li,,Be-F,,Be-Be,,F-F,,Li-Be,,Li-F,
R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF,R (A),RDF
2.020154401,0.079896379,0.32472583,0.031465023,1.949170274,0.007102583,1.887741703,0.041151294,2.174408369,0.088261796,0.49536075,0.027758437
2.092503608,0.147700279,0.399805195,0.05039728,2.119805195,0.023569244,1.962821068,0.079896379,2.242662338,0.162767812,0.570440115,0.036308159
2.164170274,0.231486525,0.47488456,0.079015809,2.220677309,0.070200424,2.037900433,0.166192251,2.293852814,0.271200238,0.645519481,0.042692292
2.229011544,0.330663181,0.549963925,0.1234846,2.34504329,0.145939138,2.099329004,0.290226842,2.334805195,0.378556411,0.720598846,0.064926687
2.283614719,0.445899059,0.62504329,0.180721658,2.420122655,0.206258191,2.143694084,0.391471439,2.368932179,0.47945507,0.795678211,0.094866071
2.327979798,0.551294916,0.700122655,0.258652113,2.484963925,0.294205132,2.174408369,0.511904079,2.396233766,0.600533462,0.870757576,0.139334862
2.368932179,0.648157629,0.771789322,0.346753154,2.536154401,0.391537332,2.201709957,0.61666956,2.426948052,0.711441268,0.945836941,0.200974771
2.413297258,0.764854135,0.833217893,0.447974689,2.583932179,0.494330416,2.225598846,0.734446162,2.450836941,0.779729481,1.020916306,0.284188647
2.457662338,0.867713112,0.884408369,0.557983056,2.631709957,0.605722536,2.255338075,0.872786873,2.488376623,1.028182339,1.089170274,0.383937673
2.502027417,0.978643981,0.928773449,0.665915793,2.686313131,0.71004214,2.273376623,0.979508826,2.503733766,1.11995976,1.143773449,0.48741165
2.549805195,1.083117335,0.966313131,0.771980464,2.7545671,0.816052998,2.285321068,1.073949971,2.522503608,1.22610515,1.188138528,0.594883137
2.597582973,1.18966632,1.000440115,0.88288827,2.829646465,0.836306111,2.304090909,1.198660714,2.546392496,1.365057018,1.232503608,0.718498409
2.648773449,1.296734211,1.037979798,1.007356856,2.90472583,0.786113614,2.321154401,1.316106754,2.56004329,1.490459637,1.268905724,0.837039919
2.713614719,1.400311271,1.072106782,1.140543087,2.972979798,0.68744084,2.34504329,1.467939056,2.583932179,1.639386058,1.29120202,0.947786288
2.77504329,1.471260064,1.095995671,1.243863314,3.030995671,0.586609447,2.365519481,1.590147513,2.604408369,1.770150721,1.314408369,1.07031762
2.877424242,1.524031373,1.11988456,1.356062623,3.082186147,0.486027897,2.38770202,1.733827203,2.618059163,1.875085327,1.338979798,1.191880324
2.952503608,1.516546527,1.143773449,1.461804418,3.133376623,0.381986966,2.407836941,1.843766383,2.635122655,2.001410448,1.361048581,1.312474402
3.027582973,1.464152605,1.160836941,1.576425295,3.198217893,0.280666366,2.428654401,1.951768308,2.665836941,2.210876065,1.373561809,1.423059333
3.099249639,1.37882536,1.177900433,1.675709576,3.273297258,0.202735911,2.454249639,2.077205521,2.690408369,2.365856406,1.388350168,1.552209617
3.170916306,1.278792595,1.191551227,1.784680128,3.348376623,0.176318807,2.498614719,2.183028035,2.706789322,2.486934797,1.408826359,1.722526554
