Ca-Cl,
X,Y
1.83393094,0.002663686
2.163172618,0.080679829
2.241843844,0.325847877
2.299356805,0.653663595
2.34820661,1.304014919
2.407420302,1.821081845
2.447080837,2.044955698
2.485372354,2.498732431
2.511481446,2.732612448
2.569707775,3.186552935
2.594746701,3.484082141
2.650248888,3.786640352
2.78,4.110906658
2.88280246,3.909157381
2.923840511,3.586241232
2.933369326,3.22926672
2.956576892,2.879693524
2.974705735,2.603361728
2.998392551,2.284428832
3.016415374,2.081834799
3.043773382,1.836585124
3.053770657,1.5993454
3.110595711,1.40471808
3.14978514,1.120009477
3.205734948,0.788907776
3.217708919,0.517014661
3.247757826,0.285090557
3.422075976,0.025106065
3.611604291,0.176277623
3.936567981,0.302847872
4.104463319,0.591466986
4.194711416,0.783218743
4.423919726,0.920277104
4.656066039,0.946280472
4.949182449,1.090744958
5.231641074,1.078613601
5.44366562,1.126676315
5.66320254,1.170203372
5.966528643,1.143720888
6.26473676,1.128886061
6.458897499,1.04447497
6.66378934,0.975375512
6.951198133,0.940867331
7.207494485,0.903462051
7.444749504,0.917224581
7.852821902,0.928541827
8.097215596,0.953844888
8.433489002,0.974584308
8.671991887,1.035110851
8.928837447,1.065836301
9.422388815,1.042193551
9.91537167,0.982203124
10.40928689,0.981822888
10.90315663,0.978534837
11.39710596,0.980335461
11.7564512,0.988636977
