Cs-F,
X,Y
2.317241379,0.030273056
2.37614221,0.138579743
2.409799827,0.279188424
2.43504304,0.459971015
2.460286253,0.758017989
2.460286253,0.640210715
2.485529466,0.952780014
2.510772679,1.210245911
2.53321109,1.65335327
2.544430296,1.761279934
2.561259105,1.966492604
2.578087913,2.429276734
2.61174553,2.931752203
2.636988743,3.266410366
2.662231956,3.509387868
2.684670368,3.824807343
2.716069882,4.061613489
2.736749351,4.215281452
2.788448021,4.302686849
2.848061937,4.1742541
2.883644884,3.997106117
2.916423029,3.789548895
2.954810778,3.537406547
2.965150512,3.425782706
2.987588923,3.274336318
3.015636938,3.136964873
3.040880151,2.907050677
3.066123364,2.728439649
3.088561775,2.550039746
3.11660979,2.390218767
3.139048201,2.229975539
3.167096216,2.086199995
3.192339429,1.974093074
3.217582641,1.829684157
3.242825854,1.730878057
3.268069067,1.601670079
3.284897876,1.521865151
3.318555493,1.434459755
3.335384302,1.350854593
3.377456324,1.22544685
3.411113941,1.145641922
3.453185962,1.043035587
3.503672388,0.936629017
3.537330006,0.872025028
3.613059644,0.770368752
3.747690114,0.639735686
3.890734987,0.546471594
4.053974431,0.488581353
4.244139968,0.46056326
4.429256863,0.464018018
4.614373758,0.486819426
4.804539296,0.535704263
4.984607549,0.596680755
5.148688433,0.666337328
5.304354913,0.753795506
5.441790183,0.837189544
5.568006248,0.921428078
5.694783273,1.007313381
5.809219172,1.090809965
5.943849641,1.176888296
6.103723323,1.268389501
6.280425814,1.334271751
6.470591351,1.36263532
6.654399339,1.337342647
6.835776499,1.277613707
7.020893394,1.199536159
7.18918148,1.119462528
7.374298375,1.034744166
7.568764608,0.962808411
7.744532165,0.907609043
7.933014822,0.865944653
8.133277645,0.837062869
8.232567616,0.834022682
8.617947334,0.837062869
8.817836183,0.858935331
8.989864004,0.887916918
9.169932257,0.927508454
9.339061784,0.965130777
9.610847043,1.028594695
9.804378343,1.067737112
9.976452911,1.094338755
10.16956349,1.112199857
10.3529975,1.115240045
10.53330617,1.108725357
10.71601895,1.090267075
10.9195674,1.063725753
11.10524525,1.037715258
11.27577718,1.011366965
11.55719226,0.974209115
11.78905584,0.950563211
12.05270718,0.932828782
12.19575205,0.932828782
12.46333011,0.932828782
12.64892783,0.943686596
12.82870224,0.952252204
13.0708501,0.973871317
13.22230938,0.993632537
13.54878826,1.019474132
13.74039627,1.032720664
13.90387613,1.039235352
14.13947945,1.046835822
14.29093873,1.046835822
14.52654205,1.038889876
14.72568295,1.029101393
14.8986457,1.018122938
