K-Cl,
R (A),RDF
2.489984642,0.033573007
2.558293461,0.144230585
2.575370666,0.233013991
2.592447871,0.28834278
2.62660228,0.548902775
2.645374801,0.666637292
2.66075669,0.848836281
2.677833895,1.09125358
2.686372497,1.195477578
2.703449702,1.421296241
2.720526906,1.647114903
2.729065509,1.901884676
2.754681316,2.18560556
2.771758521,2.388263334
2.788835726,2.681634588
2.808759131,3.00460031
2.824685451,3.121691469
2.84006734,3.422783019
2.867378463,3.658252051
2.882760352,3.843539159
2.907559513,4.016820552
2.919824709,4.06279557
2.932089905,4.15115464
2.985223581,4.238560979
3.079148207,3.940042861
3.096225412,3.821343307
3.116148818,3.714867556
3.138918424,3.582979164
3.155995629,3.458811067
3.164534231,3.368740945
3.184457637,3.264516947
3.207227243,3.132306876
3.215765846,3.013607322
3.241381653,2.903593102
3.258458858,2.770417994
3.275536062,2.653326835
3.292613267,2.551676269
3.309690472,2.446165555
3.326767677,2.341941557
3.343844882,2.248011287
3.369460689,2.111297709
3.395076496,1.992598156
3.412153701,1.889017516
3.437769508,1.797660678
3.463385315,1.697296828
3.48046252,1.603366558
3.51461693,1.491422264
3.531694134,1.412932586
3.565848544,1.315142169
3.600002954,1.219925183
3.651234568,1.109267604
3.711004785,1.001505137
3.779313604,0.870260103
3.847622423,0.777616549
3.933008447,0.689154822
4.052548881,0.600049737
4.214782326,0.523811813
4.402631579,0.476788191
4.590480832,0.462049444
4.778330084,0.46976974
4.966179337,0.499247234
5.15402859,0.549078237
5.341877843,0.620666437
5.512649891,0.704380962
5.657806131,0.789679512
5.785885167,0.876739637
5.905425601,0.961662895
6.033504637,1.057477284
6.161583673,1.145847103
6.298201311,1.228074384
6.468973359,1.302859879
6.656822612,1.342163205
6.844671865,1.33865398
7.032521118,1.296894196
7.22037037,1.233026291
7.408219623,1.155472407
7.596068876,1.077567601
7.775379526,1.010576485
8.005921791,0.940356883
8.193771044,0.898597099
8.381620297,0.869119604
8.569469549,0.855433625
8.757318802,0.850169787
8.945168055,0.854380857
9.133017308,0.864908534
9.32086656,0.884911119
9.508715813,0.911581233
9.696565066,0.943515186
9.867337114,0.976735854
10.08934078,1.019665379
10.27719003,1.052652099
10.46503928,1.077918523
10.65288853,1.09265727
10.84073779,1.098272031
11.02858704,1.094411883
11.21643629,1.080374981
11.40428555,1.063179776
11.5921348,1.042826268
11.77998405,1.019314457
11.9629541,0.998058577
12.15568256,0.977554673
12.34353181,0.961412236
12.53138106,0.950182714
12.71923031,0.941058728
12.90707957,0.940707805
13.09492882,0.940707805
13.28277807,0.947024411
13.47062733,0.95790301
13.65847658,0.970185299
13.84632583,0.983871279
14.00428998,0.993784841
14.22202434,1.011945083
14.40987359,1.023525527
14.59772284,1.032649514
14.7855721,1.033351359
14.93072834,1.033994717
15.07588458,1.033351359
