K-F,
X,Y
2.008918647,0.029683054
2.07621733,0.125672605
2.101454336,0.228314898
2.121083118,0.346163456
2.137907789,0.458943258
2.15473246,0.586929327
2.177165354,0.793987976
2.188381801,1.027911028
2.205206472,1.164767418
2.222031143,1.44608333
2.236051702,1.653902293
2.255680485,1.883516903
2.272505155,2.215266929
2.286525714,2.497850031
2.31176272,2.817181607
2.336999726,3.117505352
2.356628509,3.354469657
2.37345318,3.578762074
2.390277851,3.755346213
2.481944469,4.010645635
2.570610076,3.711298362
2.614606794,3.486257291
2.620215017,3.363339978
2.6398438,3.236304302
2.659472583,3.120462126
2.673493142,3.00345836
2.690317812,2.886560194
2.721163042,2.667653329
2.740791825,2.537766478
2.757616495,2.452231234
2.771637054,2.331848299
2.794069949,2.222870062
2.824915178,2.041662064
2.844543961,1.93014945
2.866976855,1.817369647
2.88940975,1.707124222
2.909038532,1.619688195
2.934275538,1.517045903
2.951100209,1.442281764
2.98474955,1.321265234
3.018398892,1.212920592
3.060460569,1.121682999
3.102522246,1.01523914
3.152996258,0.913864036
3.279181289,0.725052905
3.388541648,0.623134721
3.539963685,0.53796976
3.725035064,0.487512606
3.910106442,0.48025507
4.09517782,0.498917305
4.280249198,0.546609683
4.456908241,0.613413573
4.616742613,0.695062771
4.751339979,0.774654295
4.87752501,0.863176484
4.995297705,0.946810945
5.121482736,1.044022428
5.247667767,1.137839656
5.390677468,1.229816442
5.558924175,1.305540573
5.743995554,1.337335492
5.929066932,1.316599675
6.11413831,1.251973047
6.290797353,1.173004145
6.459044061,1.092030781
6.618878433,1.01861831
6.820774482,0.943354975
7.00584586,0.892897821
7.190917238,0.858683724
7.375988617,0.841403877
7.561059995,0.838639101
7.746131373,0.851771785
7.931202752,0.876654765
8.11627413,0.913979235
8.301345508,0.958561241
8.51045213,1.011437573
8.671488265,1.045997268
8.856559643,1.078137784
9.041631021,1.099564794
9.226702399,1.102675167
9.411773778,1.097836809
9.596845156,1.080211365
9.781916534,1.054637191
9.966987913,1.02768063
10.15205929,1.000032874
10.33713067,0.974804297
10.52220205,0.956487659
10.70727343,0.941281394
10.8923448,0.935406246
11.07741618,0.93713423
11.26248756,0.946465348
11.44755894,0.958215644
11.63263032,0.9744587
11.79246469,0.988152979
12.07007176,1.014202349
12.25514313,1.02768063
12.44021451,1.035283762
12.62528589,1.039430926
12.81035727,1.038048538
12.99542865,1.033555778
13.18050003,1.023879063
13.3655714,1.013856752
13.4833441,1.005101629
13.78618817,0.988973772
13.97125955,0.979988251
14.15633093,0.976532282
14.34140231,0.976877879
14.52647369,0.974113103
14.71154506,0.97791467
14.89661644,0.982753027
