Li-Cl,
R (A),RDF
1.945791566,0.038505955
2.005592383,0.130174007
2.026949817,0.240175669
2.073936173,0.571917524
2.091022121,0.792113834
2.121776826,1.188505789
2.142279963,1.508089565
2.152798371,1.704934645
2.173034669,1.990552996
2.193537806,2.323452763
2.204056213,2.523192623
2.222014386,2.773816293
2.24137846,3.075902729
2.255314056,3.287414697
2.27042457,3.452610176
2.287510518,3.609940916
2.304596466,3.773737835
2.330225387,3.903681319
2.372940256,4.024965383
2.448954796,3.898792356
2.466912968,3.777597542
2.477431375,3.688824271
2.501084863,3.53250612
2.518170811,3.395486505
2.552342706,3.147886273
2.569428654,3.003082915
2.595057575,2.80688112
2.620686496,2.620971878
2.646315418,2.424770083
2.663401365,2.301045017
2.680487313,2.204766759
2.697573261,2.085115828
2.723202182,1.956780555
2.74028813,1.831018421
2.774460025,1.680811473
2.791545972,1.563840895
2.825717868,1.442688967
2.859889763,1.312531054
2.894061658,1.198669685
2.928233553,1.0854516
2.968972989,0.982740496
3.05637816,0.815851035
3.16743682,0.669503794
3.261409532,0.582831919
3.363925217,0.51871789
3.466440903,0.477547677
3.563830804,0.459021082
3.671472274,0.449886441
3.756902012,0.448599871
3.893589593,0.46661184
3.996105279,0.491056653
4.098620964,0.52579402
4.20113665,0.567607518
4.303652336,0.614567292
4.406168021,0.678895749
4.508683707,0.750729193
4.611199392,0.833712903
4.69662913,0.902758781
4.816230764,1.015976866
4.918746449,1.104964565
5.021262135,1.192880124
5.123777821,1.270503129
5.226293506,1.335046015
5.328809192,1.376216227
5.431324878,1.391011772
5.533840563,1.389081919
5.636356249,1.36399382
5.738871934,1.321537038
5.84138762,1.264927996
5.943903306,1.200599539
6.046418991,1.13755765
6.148934677,1.074515762
6.251450363,1.018550004
6.405223891,0.942642424
6.507739577,0.898899073
6.610255262,0.867378129
6.711062353,0.843447943
6.815286634,0.826207916
6.934888267,0.812055656
7.037403952,0.806909379
7.139919638,0.810769087
7.242435324,0.818488502
7.344951009,0.830067624
7.464552643,0.852582584
7.567068328,0.875097544
7.669584014,0.902115496
7.7720997,0.931706587
7.874615385,0.965157384
7.985674045,0.998608182
8.079646756,1.031415696
8.182162442,1.059720217
8.284678128,1.086738169
8.387193813,1.107323275
8.489709499,1.124691959
8.592225185,1.139487504
8.69474087,1.141417358
8.797256556,1.134984512
8.904898026,1.121346879
9.002287927,1.109253129
9.104803613,1.093814299
9.224405246,1.068726201
9.344006879,1.045567956
9.446522565,1.021123142
9.523409329,1.008900735
9.685725831,0.974806653
9.793367301,0.958467225
9.890757203,0.947788701
9.993272888,0.931063302
10.09578857,0.92656031
10.19830426,0.922057318
10.30081995,0.920770749
10.40333563,0.923987172
10.50585132,0.922700603
10.608367,0.92656031
10.72796864,0.940712571
10.83048432,0.947788701
10.93300001,0.960654392
11.03551569,0.974163368
11.13973997,0.985485177
11.30034788,1.015011939
11.39432059,1.024339565
11.49854487,1.033345549
11.59935196,1.044924672
11.70186765,1.050070948
11.79584036,1.048784379
11.97524281,1.064223209
12.14610229,1.050070948
12.24861797,1.046854525
12.35113366,1.042994818
12.46219232,1.031415696
12.55616503,1.023052996
12.65868071,1.015976866
12.74411045,1.010187305
12.91496993,0.988958914
13.03457156,0.981239499
13.13708725,0.974806653
13.23960293,0.970946946
13.34211862,0.97159023
13.4446343,0.966443954
13.54714999,0.960654392
13.64966568,0.961940962
13.76926731,0.97159023
13.87178299,0.969017092
13.94012679,0.969660376
