Li-F,
R (A),RDF
1.510219515,0.052182209
1.561460361,0.202620518
1.578540643,0.356916221
1.612701207,0.607646737
1.629781489,0.923952927
1.681022336,1.697360134
1.732263182,2.563344764
1.783504028,3.269247602
1.834744874,3.678131213
1.877445579,3.72634862
1.937226566,3.516120725
1.988467412,3.149668432
2.039708259,2.760071784
2.056788541,2.563344764
2.108029387,2.169890723
2.159270233,1.830440178
2.210511079,1.552707914
2.261751925,1.313549575
2.312992771,1.112965162
2.364233618,0.966384245
2.517956156,0.673222411
2.63751813,0.549785849
2.791240669,0.480352783
3.064525182,0.480352783
3.491532233,0.719511121
3.594013925,0.812088543
3.645254772,0.866092038
4.021020977,1.267260864
4.396787182,1.352123501
4.448028028,1.328979145
4.499268874,1.30583479
4.55050972,1.274975649
4.652991413,1.205542583
4.823794233,1.082106022
5.079998464,0.935525104
5.250801284,0.866092038
5.361823118,0.842947683
5.771749887,0.842947683
6.813647092,1.12839473
6.856347797,1.128394732
7.300435131,1.058961666
7.394376682,1.03581731
7.488318233,1.012672956
7.590799926,0.9895286
7.701821759,0.966384245
7.975106272,0.935525104
8.333792195,0.935525104
8.914521785,1.012672956
9.085324605,1.0358173
9.768535887,1.035817311
9.79415631,1.0358173
9.990579554,1.012672956
10.01619998,1.012672956
10.2297035,0.9895286
10.25532393,0.9895286
10.63963027,0.966384245
10.66525069,0.966384245
10.7079514,0.966384245
10.74211196,0.966384245
10.77627253,0.966384245
