Mg-Cl,
X,Y
2.080652948,0.156404253
2.115182223,0.34865794
2.130246552,0.553697182
2.137067253,0.723415795
2.146467337,0.824502921
2.152191604,1.059675546
2.161651589,1.249034639
2.174070446,1.452156212
2.18442038,1.719919338
2.207551491,2.028882188
2.216732786,2.256142923
2.224517982,2.478431973
2.231812629,2.604388926
2.237863768,2.78877458
2.240838746,3.025841849
2.247652549,3.215316068
2.260098899,3.633149635
2.268082667,3.81606608
2.27901912,4.020805994
2.281419199,4.152909136
2.289884076,4.430285823
2.299779399,4.570914826
2.303236914,4.720433811
2.311693637,5.021158032
2.324453668,5.257626646
2.341799787,5.495691674
2.35740325,5.778285209
2.368017397,5.963081369
2.442330743,6.057429353
2.459873826,5.820419325
2.474155307,5.626397954
2.487696195,5.378041767
2.502440596,5.18578808
2.507077833,5.040913638
2.525619432,4.857725293
2.540252826,4.608086275
2.551346382,4.362937167
2.563346815,4.147720795
2.579939991,3.91504366
2.594252109,3.647245449
2.610847445,3.408382216
2.6288263,3.147967412
2.640825165,2.937240951
2.662312575,2.699375475
2.67583837,2.494236458
2.697930782,2.27512883
2.720033542,2.026387794
2.743693008,1.823058994
2.778897268,1.583483077
2.80281946,1.378344059
2.836692544,1.198063466
2.874495307,1.022743155
2.917364901,0.84833508
2.970928481,0.697374315
3.072805289,0.544798996
3.19393013,0.437694224
3.315037409,0.380876449
3.436132146,0.359977957
3.551714128,0.364222963
3.744339285,0.40416956
3.865412508,0.444878081
3.977311756,0.487545835
4.107551808,0.546758229
4.228617125,0.610106783
4.349680389,0.679333038
4.470744566,0.745946982
4.591805778,0.821050938
4.712869042,0.890277193
4.833931394,0.962115759
4.954992986,1.036131252
5.072762813,1.079735085
5.164114992,1.119246296
5.384228497,1.249470025
5.505290165,1.323267825
5.626370077,1.344819395
5.835529318,1.321308591
5.956635001,1.269062361
6.077749351,1.191999172
6.198864841,1.111670593
6.319976454,1.042444338
6.441086698,0.97713655
6.562193522,0.921624931
6.683296925,0.875909479
6.804393562,0.849568672
6.919334829,0.836153689
7.046577713,0.823010171
7.288745065,0.844561741
7.409826346,0.862194844
7.530906258,0.883746414
7.651984803,0.909216451
7.773061751,0.939258033
7.894139155,0.96799346
8.015216331,0.997381964
8.136293431,1.026988161
8.257373875,1.047015883
8.359395619,1.075944241
8.587589082,1.113629826
8.70867903,1.10644597
8.829768749,1.099915191
8.950861205,1.085547478
9.071953478,1.071702227
9.193042878,1.066085757
9.314134878,1.053024199
9.435228976,1.033954325
9.556323621,1.013317064
9.677419817,0.988238874
9.798511589,0.975830394
9.919600168,0.972565005
10.03962785,0.961810872
10.34892432,0.932074177
10.47000834,0.941870345
10.59109167,0.953625747
10.71217683,0.960156525
10.83326883,0.947094968
