Na-Cl,
X,Y
2.2046166,0.030643045
2.271934382,0.142327365
2.29717855,0.272704151
2.316812903,0.386071335
2.347666886,0.683106025
2.367301239,0.919340437
2.3897405,1.236008549
2.406569945,1.494409729
2.417789576,1.674277217
2.431814114,1.804111143
2.440228836,2.041612227
2.465473004,2.417813945
2.48230245,2.711935288
2.507546618,3.022016704
2.518766248,3.265217814
2.532790786,3.393360288
2.545874695,3.571281762
2.552425139,3.755783492
2.578592957,3.918319343
2.600091589,4.081755973
2.659011627,4.222822187
2.700127633,4.142071818
2.732706668,3.981575371
2.759988299,3.821920356
2.783368189,3.690819757
2.802061913,3.57301922
2.816086451,3.426085215
2.832915896,3.31461804
2.844135526,3.215817589
2.866574787,3.037216773
2.883404232,2.92701627
2.900233678,2.814282422
2.919868031,2.677735132
2.933892568,2.563481277
2.953526921,2.457714127
2.970356367,2.344346943
2.98999072,2.238959795
3.01242998,2.083412418
3.034869241,1.962761867
3.054503594,1.868711438
3.071333039,1.757455374
3.090967392,1.666677182
3.113406653,1.585610145
3.138650821,1.490609712
3.169504804,1.365209139
3.205968603,1.268308697
3.248042216,1.146074805
3.298530552,1.02447425
3.349018889,0.932007161
3.441580839,0.779056463
3.525728066,0.679939343
3.643534184,0.587155586
3.803413915,0.509859779
3.988537815,0.471168693
4.173661714,0.460459553
4.358785614,0.48395057
4.543909513,0.527478041
4.729033413,0.595878354
4.897327867,0.682894912
5.03196343,0.766434976
5.141354826,0.847773443
5.242331498,0.926940471
5.351722893,1.01275753
5.444284843,1.085274527
5.553676238,1.170865394
5.696726524,1.262608671
5.873435701,1.334809
6.058559601,1.357263648
6.2436835,1.325481685
6.4288074,1.257426829
6.605516577,1.175968275
6.782225754,1.093680626
6.958934931,1.015987544
7.169302998,0.940298108
7.354426898,0.894006988
7.534501964,0.86398685
7.724674697,0.84564313
7.909798597,0.841843113
8.094922496,0.853243165
8.280046396,0.870515971
8.465170296,0.899534285
8.650294195,0.937879915
8.810173927,0.97333235
9.03737144,1.026662139
9.222495339,1.062589575
9.407619239,1.089189697
9.592743138,1.103353398
9.777867038,1.104735222
9.962990938,1.095062451
10.14811484,1.075371452
10.33323874,1.051880436
10.51836264,1.02562577
10.69338887,1.00192748
10.88861044,0.977607369
11.07373434,0.958952739
11.25885823,0.946170862
11.44024226,0.937496075
11.62069131,0.934667173
11.81422993,0.943061757
11.99935383,0.952043616
12.18447773,0.966898229
12.36960163,0.982443755
12.57716479,1.002940818
12.73984943,1.016989367
12.92497333,1.027353051
13.11009723,1.037025822
13.29522113,1.044280401
13.48539386,1.044107673
13.66546893,1.03633491
13.85059283,1.027353051
14.03571673,1.018025736
14.19559646,1.009907517
14.54060009,0.99004379
14.72572399,0.980371018
14.90243317,0.977607369
