Na-F,
X,Y
1.731730916,0.016320058
1.80102867,0.093699367
1.830259205,0.213884593
1.855497276,0.36216674
1.883539577,0.55987627
1.889148037,0.681543674
1.905973418,1.00852482
1.935417834,1.258513312
1.939624179,1.419152305
1.95644956,1.829779791
1.984491861,2.092125129
1.990100321,2.301240978
2.006925701,2.711868464
2.034968003,2.936192738
2.040576463,3.122495949
2.057401843,3.426664457
2.085444145,3.580776501
2.091052605,3.700416114
2.107877985,3.823984571
2.166766818,3.978410235
2.220855188,3.881809763
2.242481031,3.727030859
2.259306411,3.609165562
2.281740252,3.432367617
2.292957173,3.362028649
2.309782553,3.266975991
2.320191475,3.160517013
2.332216394,3.034906685
2.343433315,2.966609589
2.360258695,2.87155693
2.360258695,2.765097953
2.382692536,2.634558968
2.393909457,2.567388422
2.410734837,2.483742083
2.410734837,2.377283105
2.433168678,2.248518437
2.444385599,2.187177788
2.461210979,2.071213544
2.48925328,1.921030343
2.511687121,1.782253461
2.534120962,1.64347658
2.562163263,1.516106017
2.587401334,1.428657571
2.612639405,1.305089115
2.637877476,1.232849094
2.663115547,1.153004861
2.696766308,1.045278514
2.74724245,0.926145849
2.839782044,0.759486854
2.915496257,0.663293563
3.008035851,0.579520487
3.108988135,0.519954154
3.201527728,0.489537303
3.310892703,0.471160456
3.411844987,0.467992034
3.51279727,0.480032037
3.613749554,0.50347836
3.714701838,0.533261526
3.815654122,0.576352065
3.916606406,0.630848922
4.01755869,0.694217361
4.118510974,0.767724751
4.211050568,0.843513404
4.303590161,0.929314271
4.438193207,1.053516411
4.539145491,1.142865911
4.640097775,1.220175406
4.741050059,1.282276477
4.842002343,1.324099646
4.942954626,1.343110178
5.04390691,1.336773334
5.144859194,1.312059643
5.245811478,1.275939633
5.346763762,1.225878566
5.447716046,1.169480655
5.54866833,1.118152219
5.649620614,1.062387993
5.742160208,1.01460819
5.885175943,0.954027962
5.986128227,0.91917532
6.088763049,0.890659523
6.188032795,0.868480569
6.288985079,0.854539512
6.389937363,0.843766878
6.490889647,0.84123214
6.583429241,0.84123214
6.692794215,0.853272144
6.785333809,0.864044778
6.894698783,0.883688994
6.995651067,0.906501633
7.096603351,0.932482693
7.197555635,0.958463753
7.273269848,0.979375338
7.416285583,1.021198507
7.512190253,1.046545883
7.618190151,1.068724837
7.719142435,1.088369053
7.821777257,1.098254529
7.921047003,1.106112216
8.021999287,1.106112216
8.10612619,1.103577478
8.223903855,1.092171159
8.324856139,1.08076484
8.425808423,1.066190099
8.526760707,1.050981674
8.627712991,1.030703773
8.720252584,1.016129032
8.913744462,0.983811128
9.014696746,0.970503756
9.120696644,0.956816173
9.216601314,0.950225856
9.292315527,0.943889012
9.393267811,0.940086905
9.536283546,0.934383746
9.635553292,0.940086905
9.738188114,0.94515638
9.839140398,0.951493224
9.940092682,0.956562699
10.04104497,0.970503756
10.13358456,0.978107969
10.22612415,0.991415341
10.4448541,1.013594295
10.54580639,1.022465876
10.64675867,1.029436404
10.74771095,1.037040617
10.84025055,1.03894167
10.98326628,1.046545883
11.08421857,1.043377461
11.21882161,1.037674302
11.31136121,1.034379143
11.42072618,1.023733245
11.52167846,1.021198507
11.62263075,1.013594295
11.68993227,1.00852482
11.95913836,0.991415341
12.05504303,0.985712181
12.16104293,0.978107969
12.26199521,0.978107969
12.3629475,0.978107969
12.46389978,0.978107969
12.56485206,0.978107969
12.66580435,0.978107969
12.75834394,0.978107969
