Rb-F,
X,Y
2.127878629,0.038263944
2.186751615,0.145405562
2.211982894,0.247987962
2.240017649,0.411359933
2.262445453,0.55003614
2.290480208,0.836886926
2.296087159,0.939469327
2.312908012,1.07624586
2.338139291,1.469478395
2.346549718,1.600555906
2.363370571,1.777225595
2.38860185,2.206172002
2.397012277,2.337629449
2.41383313,2.485804027
2.439064409,2.943489789
2.447474836,3.067104295
2.464295689,3.371052147
2.489526968,3.547721837
2.514758248,3.724391526
2.546933729,3.932290845
2.598862512,4.044826526
2.662833343,3.906502655
2.69978763,3.767076697
2.716608483,3.637006518
2.744643238,3.469835199
2.767071042,3.317861273
2.789498846,3.146187023
2.817533601,2.985418309
2.84276488,2.816347316
2.86799616,2.643476975
2.890423964,2.476875559
2.918458719,2.330030752
2.940886523,2.181539562
2.968921278,2.03558127
2.994152557,1.917801477
3.019383837,1.777225595
3.044615116,1.684141565
3.069846396,1.577759817
3.095077675,1.482776113
3.128719381,1.353598276
3.162361087,1.264313594
3.204413219,1.153499273
3.254875778,1.032553356
3.305338337,0.940735776
3.372621749,0.825488882
3.448315587,0.730505178
3.540830279,0.642577406
3.692217955,0.553317396
3.872201082,0.494945592
4.069005062,0.480128134
4.288423744,0.497900641
4.482798045,0.54053777
4.667827428,0.605126689
4.844446384,0.684913
4.995834061,0.771348171
5.130400884,0.853983993
5.24646477,0.93339037
5.410748434,1.0464843
5.534101356,1.129911653
5.677078606,1.217243892
5.845287136,1.292117915
6.030316518,1.333219954
6.200394032,1.325736389
6.417196137,1.267594849
6.593815093,1.194025653
6.770434049,1.11216697
6.955463432,1.033416845
7.190955373,0.945686442
7.369256415,0.897676497
7.561014139,0.862791573
7.754453948,0.840686275
8.019382382,0.8387866
8.233848257,0.85933762
8.41887764,0.886969243
8.603907023,0.923581143
8.780525979,0.963025285
9.0412492,1.023054986
9.226278583,1.058976096
9.431492989,1.089163644
9.616522372,1.101321558
9.781366731,1.104952046
10.01685867,1.088680091
10.21029848,1.068172245
10.43233374,1.038252379
10.58035725,1.017989189
10.85790132,0.981262156
11.0429307,0.960745676
11.23300634,0.947827893
11.49709373,0.93187063
11.64007098,0.93187063
11.89238378,0.946688088
12.06690013,0.956566393
12.26898399,0.97324131
12.43065107,0.987436097
12.76613364,1.017144889
12.9478923,1.026854334
13.14553732,1.038252379
13.33056671,1.038252379
13.51559609,1.038252379
13.65857334,1.03571948
13.88565486,1.023054986
14.07909466,1.014981371
14.22207191,1.000258897
14.51643684,0.992660201
14.76033921,0.977462808
14.92013731,0.977462808
