Sr-Cl,
X,Y
2.079669111,-0.003394134
2.316851842,-0.012034705
2.398957455,0.240561432
2.435302897,0.551717577
2.469684543,0.87055078
2.499631897,1.04962687
2.534364112,1.289007956
2.559268864,1.5676881
2.58751311,1.811528521
2.615757359,2.055368942
2.655123263,2.333488519
2.688655619,2.642980858
2.750311802,2.98807253
2.808218842,3.195066468
2.9,3.381280466
3.063032914,3.053473782
3.124627439,2.791720888
3.163402966,2.542691674
3.230448146,2.324766966
3.265451749,2.115860494
3.300315753,1.905621549
3.343945079,1.703038514
3.387524755,1.497790367
3.431054781,1.289877108
3.475081302,1.108614964
3.49570438,0.94336077
3.586488133,0.727417615
3.679857935,0.476546234
3.887245703,0.310564114
4.431838973,0.655605208
4.9852732,0.748203495
5.367931214,0.932401171
5.631952558,1.109707506
6.037339687,1.241700173
6.557117119,1.152644463
7.076231056,1.027973173
7.596333468,0.956361829
8.116936882,0.911643884
8.638637098,0.925800674
9.160919561,0.971211954
9.683120782,1.012262142
10.204821,1.026418932
10.72615561,1.02095081
11.24721941,1.000945717
11.76822905,0.978033229
12.28957721,0.973291955
12.81131804,0.989629291
13.3330318,1.00451293
13.87426139,1.006753174
