Zn-Cl,,
X,Y,
2.066517777,0.302480434,
2.081148102,0.525859737,0.223379303
2.089543644,0.722697409,0.196837672
2.098464423,0.938213109,0.2155157
2.109371357,1.22748307,0.289269961
2.120275472,1.524826317,0.297343247
2.124994458,2.249985332,0.725159015
2.130985035,2.379294751,0.129309419
2.136432816,2.54021314,0.160918389
2.142368724,3.054577276,0.514364136
2.1487563,3.276250567,0.221673291
2.152619618,3.471240961,0.194990394
2.154768036,3.587923775,0.116682814
2.158036292,3.721239172,0.133315397
2.159342169,3.922027966,0.200788794
2.166156912,4.108808238,0.186780272
2.168153244,4.749967444,0.641159206
2.179539422,5.18961947,0.439652026
2.181907252,5.41407508,0.22445561
2.19027744,5.962602445,0.548527365
2.192645382,6.186738772,0.224136327
2.201025493,6.706849993,0.520111221
2.203393546,6.930667038,0.223817045
2.211761505,7.485580053,0.554913015
2.214129446,7.709716381,0.224136328
2.222594852,7.985576476,0.275860095
2.23052136,8.212586346,0.22700987
2.242697505,8.629250031,0.416663685
2.243468606,9.142736483,0.513486452
2.251528072,9.699644671,0.556908188
2.267333017,10.02349382,0.323849149
2.288954747,9.807402521,-0.216091299
2.322390936,9.52142206,-0.285980461
2.334481872,9.327520897,-0.193901163
2.343286928,9.117752283,-0.209768614
2.343944119,8.758559451,-0.359192832
2.346048671,8.214182758,-0.544376693
2.356364225,7.695143414,-0.519039344
2.36592497,7.336155835,-0.358987579
2.370942969,7.205050452,-0.131105383
2.377055216,6.985942824,-0.219107628
2.378757065,6.61571764,-0.370225184
2.38689288,6.396866579,-0.218851061
2.391617218,6.211882271,-0.184984308
2.400199809,6.005397705,-0.206484566
2.405077445,5.547375531,-0.458022174
2.410656993,5.33096185,-0.216413681
2.418087296,5.068451755,-0.262510095
2.421822673,4.879276863,-0.189174892
2.432180982,4.709258923,-0.17001794
2.432967945,4.486032551,-0.223226372
2.435818736,4.203096357,-0.282936194
2.446617596,3.926218549,-0.276877808
2.451658759,3.500275715,-0.425942834
2.456969911,3.301907197,-0.198368518
2.466473603,3.106301044,-0.195606153
2.468106518,2.933477978,-0.172823066
2.479183634,2.735408788,-0.19806919
2.4886922,2.525845427,-0.209563361
2.490325258,2.352611855,-0.173233572
2.496683248,2.158647726,-0.193964129
2.507234205,1.966222994,-0.192424732
2.521984849,1.756095188,-0.210127806
2.522057223,1.548840923,-0.207254265
2.538625758,1.386725225,-0.162115698
2.546026271,1.209523428,-0.177201797
2.560771061,1.016157953,-0.193365475
2.581490928,0.787172523,-0.22898543
2.604948985,0.597698304,-0.189474219
2.626239884,0.422206949,-0.175491355
2.679928471,0.238505472,-0.183701477
2.816527404,0.067262468,-0.171243004
3.003972497,0.043071267,-0.024191201
3.230138016,0.073294259,0.030222992
3.381165227,0.151431441,0.078137182
3.498780469,0.243675129,0.092243688
3.62326477,0.367161813,0.123486684
3.744315491,0.472307351,0.105145538
3.869029713,0.594106375,0.121799024
4.107449638,0.839337118,0.245230743
4.228501499,0.941217267,0.101880149
4.349558834,1.027423547,0.08620628
4.470625519,1.086853633,0.059430086
4.591700871,1.121466761,0.034613128
4.712784432,1.132569085,0.011102324
5.681398191,1.378126366,#REF!
5.802518242,1.28473623,-0.093390136
5.91265424,1.122918045,-0.161818185
6.022789199,0.964074993,-0.158843052
6.143924986,0.825622483,-0.13845251
6.265040932,0.743987748,-0.081634735
6.386140457,0.709374621,-0.034613127
6.507230177,0.702843842,-0.006530779
6.628311002,0.7217831,0.018939258
6.749385441,0.759008539,0.037225439
6.866961654,0.813880741,0.054872202
6.991526803,0.854983667,0.041102926
7.112597812,0.902032594,0.047048927
7.233662673,0.966687304,0.06465471
7.354731182,1.020892768,0.054205464
7.475803113,1.065302063,0.044409295
7.596876868,1.104486736,0.039184673
7.717955413,1.129956773,0.025470037
7.839038746,1.141712175,0.011755402
7.960125501,1.143671409,0.001959234
8.081214764,1.138446786,-0.005224623
8.2023095,1.117548294,-0.020898492
8.323406289,1.090772101,-0.026776193
8.444495096,1.086853633,-0.003918468
8.565585956,1.077057465,-0.009796168
8.68667978,1.058771285,-0.01828618
8.807774517,1.037872793,-0.020898492
8.928865376,1.028076625,-0.009796168
9.049962393,1.000647354,-0.027429271
9.171057358,0.979095784,-0.02155157
9.292152094,0.958197292,-0.020898492
9.413247059,0.936645722,-0.02155157
9.534339743,0.921624931,-0.015020791
9.655430602,0.911828762,-0.009796169
9.776516217,0.917053385,0.005224623
9.897600462,0.926196476,0.009143091
10.01868197,0.943176501,0.016980025
10.13976736,0.949054201,0.0058777
10.26085229,0.956238058,0.007183857
10.38193174,0.979095784,0.022857726
10.50301029,1.004565821,0.025470037
10.62409294,1.018280456,0.013714635
10.74517901,1.022198924,0.003918468
10.86626896,1.015015067,-0.007183857
