Na-Na,,Na-Cl,,Na-Ca,,Cl-Cl,,Ca-Cl,,Ca-Ca,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
1.823046176,0.019093881,0.165664764,0.042051566,0.195761794,0.030341303,0.161075053,0.040213912,0.124273632,0.048031279,0.174556782,0.013831362
1.985929922,0.038305763,0.31861637,0.041618122,0.348665694,0.029961754,0.31412176,0.042229275,0.277178934,0.047543284,0.327474835,0.023124325
2.128952745,0.020990689,0.471567977,0.041184678,0.501569593,0.029582205,0.467168467,0.044244638,0.430084237,0.047055288,0.480429048,0.022636173
2.28190265,0.018282894,0.624519584,0.040751234,0.807377392,0.028823108,0.620215173,0.043809537,0.582989539,0.046567292,0.633383261,0.022148022
2.434854808,0.018012565,0.777471191,0.04031779,1.104102359,0.033116785,0.77326188,0.043374436,0.735894841,0.046079297,0.786337473,0.02165987
2.587806967,0.017742236,0.943218882,0.066961512,1.266089091,0.027684462,0.939062479,0.069041355,0.89790165,0.053945967,1.27069248,0.020114056
2.740765883,0.024784306,1.074301103,0.056226222,1.418992991,0.027304913,1.066601401,0.062756817,1.105415988,0.040009474,1.423646693,0.019625904
2.90284068,0.044345829,1.236326011,0.039017457,1.57189689,0.026925365,1.232402,0.042069134,1.245579182,0.044452645,1.576600905,0.019137752
3.046714128,0.071774248,1.389277618,0.038584013,1.72480079,0.026545816,1.385448707,0.041634033,1.398484484,0.043964649,1.729555118,0.018649601
3.172084702,0.228230559,1.542229225,0.038150569,1.877722763,0.031056722,1.538495413,0.041198932,1.551389787,0.043476653,1.882518371,0.01571617
3.294258542,0.418755375,1.695180832,0.037717125,2.11977542,0.018229633,1.69154212,0.040763831,1.704295089,0.042988658,2.028277468,0.046061129
3.405917189,0.605467771,1.848132439,0.037283681,2.259964438,0.025217395,1.844588827,0.040328731,1.917255827,0.042308996,2.188417756,0.017185145
3.493476758,0.776632381,1.997948348,0.064338949,2.412868338,0.024837847,2.00401248,0.050902586,2.125969196,0.070128588,2.341371969,0.016696994
3.559195673,0.958281896,2.148381865,0.082113312,2.565772237,0.024458298,2.15068224,0.039458529,2.283121867,0.200287157,2.494326181,0.016208842
3.646766827,1.141982049,2.19727079,0.157395273,2.718676137,0.024078749,2.303728947,0.039023428,2.354142624,0.422373643,2.647280394,0.01572069
3.727050684,1.32151656,2.265564317,0.283157459,2.871589074,0.026144428,2.456775653,0.038588327,2.379626841,0.613021793,2.800252686,0.010341981
3.825564129,1.523739561,2.269507885,0.446454965,3.113650767,0.015762567,2.60982236,0.038153226,2.397829853,0.80578911,2.95492447,0.03779406
3.959593256,1.735562621,2.316392328,0.673576249,3.25388497,0.034976466,2.762869067,0.040168589,2.434235877,1.099102895,3.097046363,0.012189339
4.11899783,1.821201728,2.346780142,0.877119661,3.419618218,0.058202486,2.90921871,0.121301221,2.443337383,1.339057648,3.259106285,0.011322805
4.276205418,1.828236289,2.359840356,1.047091175,3.563105232,0.161926175,3.007263621,0.305912889,2.450715284,1.507756337,3.412051457,0.013279932
4.43117209,1.709135707,2.398538792,1.296131933,3.595390616,0.352800333,3.088779285,0.545589824,2.458837744,1.693569398,3.56500567,0.01279178
