Li-Cl,,K-Cl,
X,Y,X,Y
0.06696411,0.205948548,0.04312668,0.198876275
0.27761653,0.205560963,0.09583708,0.198852007
0.47869384,0.205190996,0.19167415,0.195124642
0.6318956,0.204909116,0.26355196,0.19877479
0.77061095,0.198578146,0.53189578,0.194968002
0.9076322,0.198326037,0.73091343,0.199693566
1.04362533,0.204151563,0.80222846,0.199660732
1.22555242,0.203816831,0.86805771,0.195413805
1.32130352,0.203640656,0.94485851,0.195378446
1.39268866,0.19322083,1.09733453,0.194707671
1.52238083,0.203270688,1.21914706,0.19946878
1.63727774,0.217778698,1.29320497,0.199434684
1.71386101,0.276515435,1.4327643,0.198236479
1.75213502,0.364761481,1.63880855,0.192950639
1.79815557,0.580046801,1.70463781,0.197136949
1.82861258,0.776764282,1.85205151,0.194360195
1.85009003,1.026501593,1.98715502,0.186465331
1.8572322,1.129977494,2.13237496,0.197914374
1.86098901,1.236065311,2.26654687,0.205219083
1.88013259,1.367678186,2.40071878,0.278822135
1.88284718,1.454034344,2.45893133,0.468761546
1.89535206,1.733403216,2.55401803,0.739986876
1.91444062,1.939439852,2.61156035,1.074305173
1.91557009,1.996013238,2.64989518,1.398412754
1.92377771,2.041636143,2.68823001,1.707787369
1.92396728,2.101335847,2.72773412,2.016136691
1.92647653,2.180651569,2.7688774,2.330255809
1.93345871,2.380987196,2.77448338,2.370731083
1.94827892,2.585034411,2.81824934,2.661237611
1.95374212,2.644002707,2.83198562,2.694829839
1.95644053,2.78442238,2.91790752,2.932460837
1.96190541,2.837773687,2.93980234,2.952607087
1.97171094,3.038282028,3.0787661,2.738915115
1.98915083,3.368528688,3.09074573,2.70944367
1.99057464,3.49955736,3.17756735,2.382775374
1.9906319,3.308204909,3.281797,2.045397925
1.99064951,3.249327232,3.37133691,1.761877318
1.99187365,3.427361601,3.46008456,1.589921068
2.00965439,3.735032835,3.4902563,1.497141575
2.02461143,3.919630146,3.53159629,1.383273849
2.0328035,4.017210196,3.81940257,0.906663478
2.03825536,4.114093165,3.88248894,0.957233851
2.04152698,4.17053785,4.09463911,0.871044087
2.05050502,4.388951855,4.30215043,0.813675616
2.06825633,4.594290226,4.35579515,0.823041713
2.07536581,4.646515111,4.56272455,0.826205501
2.07918557,4.70274815,4.7821554,0.880920512
2.0851968,4.761926074,4.99610047,0.937746357
2.09363229,4.830999475,5.18901676,1.017070514
2.12347451,5.056747385,5.40479042,1.137847561
2.20457596,5.107151034,5.60776395,1.243169568
2.21610188,5.053206767,5.79976594,1.335846771
2.22707933,5.00052733,6.00273947,1.377919503
2.23641506,4.939425435,6.20297012,1.386260553
2.2453835,4.884643325,6.43062962,1.352422791
2.25178791,4.850929629,6.63634603,1.297512041
2.2784668,4.658298181,6.83657668,1.23417058
2.3023344,4.440852855,7.04366454,1.18663828
2.30673254,4.395852708,7.22332354,1.132793681
2.31332923,4.330121841,7.44220581,1.097273313
2.32046996,4.277870737,7.46195459,1.098950868
2.32596877,4.217829087,7.65019467,1.068302118
2.32597917,4.18307397,7.86343217,1.057154219
2.34796308,3.980822043,7.98802037,1.086562788
2.36904229,3.749223031,,
2.38367243,3.700609188,,
2.38643197,3.636710901,,
2.39742624,3.527861578,,
2.41119013,3.321412036,,
2.44414002,3.104816619,,
2.4485431,3.043302527,,
2.46338142,2.909520758,,
2.4749074,2.855365853,,
2.5073174,2.611388625,,
2.52710672,2.40933375,,
2.54395157,2.293259417,,
2.55292177,2.232579469,,
2.59426022,1.982347267,,
2.62540336,1.783368117,,
2.68057274,1.525886711,,
2.75724409,1.290235061,,
2.91534242,0.925638744,,
2.99915987,0.807729237,,
3.06692417,0.73849857,,
3.08611366,0.716697444,,
3.2039763,0.635034296,,
3.22590369,0.62165361,,
3.34649436,0.58141071,,
3.37938051,0.577839586,,
3.40404244,0.584113319,,
3.45643853,0.582416856,,
3.5138903,0.578631297,,
3.64246025,0.580866155,,
3.66164196,0.585043601,,
3.78495583,0.602369792,,
3.8178363,0.617756005,,
3.85071972,0.623312487,,
3.88360209,0.632379588,,
3.91648383,0.643553059,,
3.94936472,0.657535024,,
4.08089062,0.705739526,,
4.10007086,0.714831837,,
4.35488878,0.853383382,,
4.38776736,0.875088707,,
4.42064553,0.898198279,,
4.45352453,0.918499356,,
4.48640291,0.940906805,,
4.51928213,0.960505759,,
4.65079374,1.056454664,,
4.66997335,1.067653346,,
4.79326516,1.158702512,,
4.82614332,1.181812084,,
4.85902212,1.202815285,,
4.89190049,1.225222733,,
4.92477908,1.246928058,,
4.95765745,1.269335506,,
5.08917285,1.352646187,,
5.11109415,1.359627085,,
5.23165288,1.426106969,,
5.26179318,1.440655675,,
5.30289762,1.44703958,,
5.33578062,1.454000309,,
5.36866236,1.46517378,,
5.53396433,1.491197858,,
5.80209384,1.402388052,,
5.84039868,1.387598162,,
5.88388892,1.375056156,,
5.92225844,1.363049465,,
5.95514521,1.35737197,,
6.09218537,1.29392874,,
6.2292251,1.231889756,,
6.26211398,1.219191025,,
6.29500265,1.207194419,,
6.32789195,1.193091441,,
6.36078104,1.179690587,,
6.39366866,1.171204598,,
6.52931676,1.126019131,,
6.66773488,1.091360416,,
6.70062124,1.087087168,,
6.73350886,1.078601179,,
6.76639564,1.072923684,,
6.79928179,1.06935256,,
6.83216983,1.059462324,,
6.96371695,1.036752345,,
6.9828995,1.038121297,,
7.22889974,1.017058142,,
7.39167221,1.031478064,,
7.5254948,1.066612135,,
7.67073606,1.070557641,,
7.70361864,1.078922618,,
7.72279909,1.087312806,,
7.7842297,1.104352843,,
7.82418788,1.110296323,,
7.96120618,1.119873944,,
