Li-Cl,,Li-Li,,Cl-Cl,
R (A),RDF,R (A),RDF,R (A),RDF
1.945791566,0,1,0,1,0
2.005592383,0,1.5,0,1.5,0
2.026949817,0,2,0,2.1,0
2.073936173,0,2.5,0,2.5,0
2.091022121,0,2.57,0.333333,2.57,0.333333
2.121776826,0,2.59,0.333333,2.723202182,0.333333
2.142279963,0,2.612143523,0.333333,2.859889763,0.333333
2.152798371,0,2.714659208,0.333333,2.928233553,0.333333
2.173034669,0,2.774460025,0.333333,2.979491396,0.333333
2.193537806,0,2.825717868,0.333333,3.013663291,0.333333
2.204056213,0,2.859889763,0.333333,3.047835187,0.333333
2.222014386,0,2.911147606,0.333333,3.082007082,0.333333
2.24137846,0,2.962405448,0.333333,3.116178977,0.333333
2.255314056,0,3.022206265,0.333333,3.150350872,0.333333
2.27042457,0,3.064921134,0.333333,3.188794254,0.333333
2.287510518,0,3.099093029,0.333333,3.201608715,0.333333
2.304596466,0,3.150350872,0.333333,3.23578061,0.333333
2.330225387,0,3.201608715,0.333333,3.252866558,0.333333
2.372940256,0,3.252866558,0.333333,3.269952505,0.333333
2.448954796,0,3.287038453,0.333333,3.304124401,0.333333
2.466912968,0,3.489222166,0.333333,3.329753322,0.333333
2.477431375,0,3.648284202,0.333333,3.355382243,0.333333
2.501084863,0,3.793921565,0.333333,3.389554139,0.333333
2.518170811,0,3.893589593,0.333333,3.423726034,0.333333
2.552342706,0,4.010343568,0.333333,3.48352685,0.333333
2.569428654,0,4.141335833,0.333333,3.611671457,0.333333
2.595057575,0.333333,4.252394493,0.333333,3.739816065,0.333333
2.620686496,0.333333,4.424474394,0.333333,3.808159855,0.333333
2.646315418,0.333333,4.72510571,0.333333,3.876503645,0.333333
2.663401365,0.333333,4.961461318,0.333333,3.944847436,0.333333
2.680487313,0.333333,5.183578637,0.333333,4.013191226,0.333333
2.697573261,0.333333,5.388610009,0.333333,4.081535017,0.333333
2.723202182,0.333333,5.687614092,0.333333,4.149878807,0.333333
2.74028813,0.333333,5.973803714,0.333333,4.226765571,0.333333
2.774460025,0.333333,6.187378059,0.333333,4.312195309,0.333333
2.791545972,0.333333,6.336880101,0.333333,4.414710995,0.333333
2.825717868,0.333333,6.658665447,0.333333,4.542855602,0.333333
2.859889763,0.333333,6.772571765,0.333333,4.688086157,0.333333
2.894061658,0.333333,7.108595401,0.333333,4.841859685,0.333333
2.928233553,0.333333,7.309558689,0.333333,5.012719161,0.333333
2.968972989,0.333333,7.490181564,0.333333,5.200664585,0.333333
3.05637816,0.333333,7.665312527,0.333333,5.388610009,0.333333
3.16743682,0.333333,8.074520972,0.333333,5.576555432,0.333333
3.261409532,0.333333,8.236267943,0.333333,5.764500856,0.333333
3.363925217,0.333333,8.469775893,0.333333,5.95244628,0.333333
3.466440903,0.333333,9.002287927,0.333333,6.123305756,0.333333
3.563830804,0.333333,9.17741889,0.333333,6.259993336,0.333333
3.671472274,0.333333,9.363940485,0.333333,6.37959497,0.333333
3.756902012,0.333333,9.904995492,0.333333,6.516282551,0.333333
3.893589593,0.333333,9.993272888,0.333333,6.687142027,0.333333
3.996105279,0.333333,10.35207779,0.333333,6.87508745,0.333333
4.098620964,0.333333,10.71600847,0.333333,7.063032874,0.333333
4.20113665,0.333333,10.89028514,0.333333,7.250978298,0.333333
4.303652336,0.333333,11.33451978,0.333333,7.438923721,0.333333
4.406168021,0.333333,11.59422618,0.333333,7.626869145,0.333333
4.508683707,0.333333,11.81102787,0.333333,7.814814569,0.333333
4.611199392,0.333333,12.10053976,0.333333,8.002759992,0.333333
4.69662913,0.333333,12.35398132,0.333333,8.190705416,0.333333
4.816230764,0.333333,13.47538901,0.333333,8.37865084,0.333333
4.918746449,0.333333,13.65820865,0.333333,8.566596263,0.333333
5.021262135,0.333333,13.94866976,0.333333,8.754541687,0.333333
5.123777821,0.333333,,,8.942487111,0.333333
