Composition,Source,Temperature (K),Average SCL (A),Pair 1 Label,Pair 1 SCL_i (A),Pair 1 Peak X (A),Pair 1 Peak Y,Pair 1 Min X (A),Pair 1 Min Y,Pair 1 CC Peak X (A),Pair 1 CC Peak Y,Pair 2 Label,Pair 2 SCL_i (A),Pair 2 Peak X (A),Pair 2 Peak Y,Pair 2 Min X (A),Pair 2 Min Y,Pair 2 CC Peak X (A),Pair 2 CC Peak Y,Pair 3 Label,Pair 3 SCL_i (A),Pair 3 Peak X (A),Pair 3 Peak Y,Pair 3 Min X (A),Pair 3 Min Y,Pair 3 CC Peak X (A),Pair 3 CC Peak Y,Pair 4 Label,Pair 4 SCL_i (A),Pair 4 Peak X (A),Pair 4 Peak Y,Pair 4 Min X (A),Pair 4 Min Y,Pair 4 CC Peak X (A),Pair 4 CC Peak Y,Pair 5 Label,Pair 5 SCL_i (A),Pair 5 Peak X (A),Pair 5 Peak Y,Pair 5 Min X (A),Pair 5 Min Y,Pair 5 CC Peak X (A),Pair 5 CC Peak Y,Pair 6 Label,Pair 6 SCL_i (A),Pair 6 Peak X (A),Pair 6 Peak Y,Pair 6 Min X (A),Pair 6 Min Y,Pair 6 CC Peak X (A),Pair 6 CC Peak Y
1.0LiF,"Walz, 2019",1121,3.44935,Li-F,3.44935,1.87745,1.24212,2.79124,0.16012,2.80832,0.59536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0NaF,"Walz, 2019",1266,3.9325,Na-F,3.9325,2.16677,1.32614,3.41184,0.156,3.26883,0.56472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0KF,"Walz, 2019",1131,4.36694,K-F,4.36694,2.48194,1.33688,3.91011,0.16009,3.77551,0.60038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0LiCl,"Walz, 2019",878,4.25921,Li-Cl,4.25921,2.37294,1.34166,3.7569,0.14953,3.48922,0.57217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0NaCl,"Lu, 2021",1200,4.53717,Na-Cl,4.53717,2.66322,1.28049,4.19175,0.15888,3.98615,0.5405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0KCl,"Walz, 2019",1043,5.09199,K-Cl,5.09199,2.98522,1.41285,4.59048,0.15402,4.49143,0.53797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0MgCl2,"Roy, 2021",1073,4.53692,Mg-Cl,4.53692,2.44233,1.73069,3.43613,0.10285,4.13479,0.24614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0CaCl2,"Bu, 2021",1073,4.7543,Ca-Cl,4.7543,2.70336,1.3318,3.95365,0.12452,4.44066,0.26895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0SrCl2,"McGreevy, 1987",1198,5.05062,Sr-Cl,5.05062,2.9,0.96608,3.88725,0.08873,4.95,0.22725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.6LiF-0.4NaF,"Grizzi, 2024",973,2.28196,Li-F,2.31358,1.78565,0.89148,2.93739,0.0957,,,Na-F,2.23453,2.18942,0.39354,3.37756,0.08481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5LiF-0.5BeF2,"Sun, 2024",900,1.95931,Be-F,1.86586,1.5304,1.67498,2.38994,-0.00302,2.94571,0.14433,Li-F,2.05275,1.85773,0.53004,2.78683,0.09123,3.21757,0.09722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.66LiF-0.34BeF2,"Fayfar, 2023",973,2.08108,Be-F,1.61483,1.54661,1.31168,2.4259,0.00137,2.96058,0.03131,Li-F,2.32128,1.83555,0.75957,2.76667,0.12757,3.14781,0.17004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5LiCl-0.5KCl,"Jiang, 2016",727,2.70166,K-Cl,2.9896,2.91347,0.5385,4.35427,0.10777,,,Li-Cl,2.41372,2.19401,0.9818,3.49997,0.06184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.637LiCl-0.363KCl,"Jiang, 2024",750,2.88676,K-Cl,2.94387,2.9398,0.36134,4.30215,0.08091,,,Li-Cl,2.85422,2.20458,1.12841,3.37938,0.08637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5NaCl-0.5KCl,"Manga, 2013",1100,2.88097,K-Cl,3.04097,2.9606,0.61278,4.5799,0.09724,4.88216,0.14719,Na-Cl,2.72097,2.57193,0.86505,4.15048,0.0743,3.9899,0.15836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7LiCl-0.3CaCl2,"Liang, 2024",1073,2.76694,Ca-Cl,2.55515,2.55744,0.57198,3.8211,0.02344,4.95504,0.0588,Li-Cl,2.8577,2.25774,0.85622,3.63161,0.11545,3.89216,0.23611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4903NaCl-0.5097CaCl2,"Wei, 2022",1023,2.81116,Ca-Cl,2.84605,2.6727,0.48572,3.92142,0.01603,4.70308,0.14007,Na-Cl,2.77488,2.69032,0.47694,4.14346,0.09117,4.27621,0.09566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.718KCl-0.282CaCl2,"Wei, 2022",1300,4.00601,Ca-Cl,2.57277,2.57472,0.76723,4.18805,0.01892,4.6635,0.04791,K-Cl,4.56892,4.57057,0.40257,7.02593,0.18588,4.62651,0.21818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.465LiF-0.115NaF-0.42KF,"Frandsen, 2020",873,2.34001,K-F,2.67581,2.62934,0.45418,3.88869,0.0933,3.78093,0.11866,Li-F,2.0574,1.85632,1.06471,2.98627,0.04392,2.85562,0.14123,Na-F,2.25633,2.25895,0.1736,3.43074,0.0209,3.33888,0.01035,,,,,,,,,,,,,,,,,,,,,,,,
0.345NaF-0.065MgF2-0.59KF,"Solano, 2021",1073,2.581,K-F,2.83236,2.56081,0.67721,4.05826,0.11491,,,Mg-F,1.94837,1.94941,0.27348,3.1101,0.00326,3.45724,0.00596,Na-F,2.27033,2.24708,0.57559,3.50244,0.05073,3.45724,0.00596,,,,,,,,,,,,,,,,,,,,,,,,
0.33NaCl-0.45MgCl2-0.22KCl,"Jiang, 2024",750,2.6259,K-Cl,3.04521,3.04991,0.21326,4.60556,0.04528,4.9601,0.01674,Mg-Cl,2.41191,2.28326,1.29506,3.58024,0.01221,3.63643,0.08016,Na-Cl,2.63815,2.63551,0.4119,4.08096,0.06083,4.32224,0.04071,,,,,,,,,,,,,,,,,,,,,,,,
0.21NaCl-0.38MgCl2-0.41KCl,"Jiang, 2024",750,2.78059,K-Cl,3.14274,3.12961,0.44016,4.54289,0.08756,4.91881,0.06464,Mg-Cl,2.41901,2.37476,1.36409,3.51334,0.03406,3.68976,0.0449,Na-Cl,2.72782,2.73492,0.29413,4.10087,0.03797,4.13279,0.01865,,,,,,,,,,,,,,,,,,,,,,,,
0.417NaCl-0.058KCl-0.525CaCl2,"Wei, 2022",1023,2.78889,Ca-Cl,2.83261,2.62206,1.03754,3.95357,0.0469,4.7483,0.14875,K-Cl,3.06519,3.07898,0.0473,4.35835,0.01286,4.33717,0.00142,Na-Cl,2.6954,2.66367,0.4227,3.98053,0.08334,4.1635,0.06851,,,,,,,,,,,,,,,,,,,,,,,,
0.535NaCl-0.315MgCl2-0.15CaCl2,"Wei, 2022",1023,2.49983,Ca-Cl,2.61407,2.61645,0.30816,3.88156,0.01379,4.84705,0.01471,Mg-Cl,2.0002,1.98194,1.1747,2.81278,0.00224,3.9522,0.04533,Na-Cl,2.76198,2.65847,0.511,3.97971,0.11871,4.27755,0.10971,,,,,,,,,,,,,,,,,,,,,,,,
1.0ThF4,"Dai, 2015",1633,4.22417,Th-F,4.22417,2.23368,1.03383,3.15966,0.05721,4.37728,0.12646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0UF4,"Ocadiz-Flores, 2021",1357,4.19446,U-F,4.19446,2.18131,1.10638,2.99472,0.04987,4.27995,0.13846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.78NaF-0.22UF4,"(900K) Zhang, 2024",900,2.8331,Na-F,3.00673,2.26,0.80245,3.34,0.13709,3.46,0.19925,U-F,2.21749,2.22,0.56812,3.26,0.00578,6.58,0.02353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
