Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
NaF,Present Model,1268.0,0.8877024015522424
NaF,Present Model,1270.3434343434344,0.8860634265026154
NaF,Present Model,1272.6868686868686,0.8844259211348188
NaF,Present Model,1275.030303030303,0.8827898854488528
NaF,Present Model,1277.3737373737374,0.8811553194447178
NaF,Present Model,1279.7171717171718,0.879522223122413
NaF,Present Model,1282.060606060606,0.8778905964819388
NaF,Present Model,1284.4040404040404,0.8762604395232955
NaF,Present Model,1286.7474747474748,0.8746317522464827
NaF,Present Model,1289.090909090909,0.8730045346515007
NaF,Present Model,1291.4343434343434,0.8713787867383489
NaF,Present Model,1293.7777777777778,0.8697545085070282
NaF,Present Model,1296.121212121212,0.8681316999575375
NaF,Present Model,1298.4646464646464,0.8665103610898781
NaF,Present Model,1300.8080808080808,0.8648904919040489
NaF,Present Model,1303.1515151515152,0.8632720924000504
NaF,Present Model,1305.4949494949494,0.8616551625778823
NaF,Present Model,1307.8383838383838,0.8600397024375451
NaF,Present Model,1310.1818181818182,0.8584257119790384
NaF,Present Model,1312.5252525252524,0.8568131912023627
NaF,Present Model,1314.8686868686868,0.8552021401075174
NaF,Present Model,1317.2121212121212,0.8535925586945025
NaF,Present Model,1319.5555555555557,0.8519844469633181
NaF,Present Model,1321.8989898989898,0.8503778049139649
NaF,Present Model,1324.2424242424242,0.848772632546442
NaF,Present Model,1326.5858585858587,0.8471689298607497
NaF,Present Model,1328.9292929292928,0.8455666968568879
NaF,Present Model,1331.2727272727273,0.8439659335348568
NaF,Present Model,1333.6161616161617,0.8423666398946563
NaF,Present Model,1335.9595959595958,0.8407688159362868
NaF,Present Model,1338.3030303030303,0.8391724616597475
NaF,Present Model,1340.6464646464647,0.8375775770650389
NaF,Present Model,1342.989898989899,0.835984162152161
NaF,Present Model,1345.3333333333333,0.8343922169211136
NaF,Present Model,1347.6767676767677,0.8328017413718969
NaF,Present Model,1350.020202020202,0.8312127355045107
NaF,Present Model,1352.3636363636363,0.8296251993189556
NaF,Present Model,1354.7070707070707,0.8280391328152303
NaF,Present Model,1357.050505050505,0.8264545359933362
NaF,Present Model,1359.3939393939395,0.8248714088532725
NaF,Present Model,1361.7373737373737,0.8232897513950395
NaF,Present Model,1364.080808080808,0.8217095636186369
NaF,Present Model,1366.4242424242425,0.8201308455240655
NaF,Present Model,1368.7676767676767,0.8185535971113242
NaF,Present Model,1371.111111111111,0.8169778183804133
NaF,Present Model,1373.4545454545455,0.8154035093313338
NaF,Present Model,1375.7979797979797,0.8138306699640846
NaF,Present Model,1378.141414141414,0.8122593002786654
NaF,Present Model,1380.4848484848485,0.8106894002750775
NaF,Present Model,1382.828282828283,0.8091209699533202
NaF,Present Model,1385.171717171717,0.8075540093133934
NaF,Present Model,1387.5151515151515,0.8059885183552972
NaF,Present Model,1389.858585858586,0.8044244970790315
NaF,Present Model,1392.2020202020203,0.8028619454845967
NaF,Present Model,1394.5454545454545,0.8013008635719922
NaF,Present Model,1396.888888888889,0.7997412513412183
NaF,Present Model,1399.2323232323233,0.7981831087922753
NaF,Present Model,1401.5757575757575,0.7966264359251626
NaF,Present Model,1403.919191919192,0.7950712327398809
NaF,Present Model,1406.2626262626263,0.7935174992364298
NaF,Present Model,1408.6060606060605,0.791965235414809
NaF,Present Model,1410.949494949495,0.7904144412750189
NaF,Present Model,1413.2929292929293,0.7888651168170594
NaF,Present Model,1415.6363636363635,0.7873172620409308
NaF,Present Model,1417.979797979798,0.7857708769466326
NaF,Present Model,1420.3232323232323,0.7842259615341651
NaF,Present Model,1422.6666666666667,0.7826825158035279
NaF,Present Model,1425.010101010101,0.7811405397547218
NaF,Present Model,1427.3535353535353,0.779600033387746
NaF,Present Model,1429.6969696969697,0.7780609967026009
NaF,Present Model,1432.0404040404042,0.7765234296992863
NaF,Present Model,1434.3838383838383,0.7749873323778026
NaF,Present Model,1436.7272727272727,0.7734527047381492
NaF,Present Model,1439.0707070707072,0.7719195467803267
NaF,Present Model,1441.4141414141413,0.7703878585043349
NaF,Present Model,1443.7575757575758,0.7688576399101733
NaF,Present Model,1446.1010101010102,0.7673288909978425
NaF,Present Model,1448.4444444444443,0.7658016117673426
NaF,Present Model,1450.7878787878788,0.7642758022186729
NaF,Present Model,1453.1313131313132,0.7627514623518341
NaF,Present Model,1455.4747474747473,0.7612285921668258
NaF,Present Model,1457.8181818181818,0.7597071916636481
NaF,Present Model,1460.1616161616162,0.758187260842301
NaF,Present Model,1462.5050505050506,0.7566687997027844
NaF,Present Model,1464.8484848484848,0.755151808245099
NaF,Present Model,1467.1919191919192,0.7536362864692434
NaF,Present Model,1469.5353535353536,0.752122234375219
NaF,Present Model,1471.878787878788,0.7506096519630249
NaF,Present Model,1474.2222222222222,0.7490985392326616
NaF,Present Model,1476.5656565656566,0.7475888961841288
NaF,Present Model,1478.909090909091,0.7460807228174269
NaF,Present Model,1481.2525252525252,0.7445740191325555
NaF,Present Model,1483.5959595959596,0.7430687851295145
NaF,Present Model,1485.939393939394,0.7415650208083042
NaF,Present Model,1488.2828282828282,0.7400627261689248
NaF,Present Model,1490.6262626262626,0.7385619012113755
NaF,Present Model,1492.969696969697,0.7370625459356571
NaF,Present Model,1495.3131313131314,0.7355646603417694
NaF,Present Model,1497.6565656565656,0.7340682444297125
NaF,Present Model,1500.0,0.7325732981994856
