Composition,Method,Temperature_K,Thermal_Conductivity_W_mK
"SCM, Mix Data","Present Model, Mix Data",784.15,0.26707531128353545
"SCM, Mix Data","Present Model, Mix Data",787.6939393939393,0.2666135282762297
"SCM, Mix Data","Present Model, Mix Data",791.2378787878788,0.2661516008312092
"SCM, Mix Data","Present Model, Mix Data",794.7818181818182,0.2656895291638142
"SCM, Mix Data","Present Model, Mix Data",798.3257575757575,0.2652273134930157
"SCM, Mix Data","Present Model, Mix Data",801.869696969697,0.2647649540414406
"SCM, Mix Data","Present Model, Mix Data",805.4136363636363,0.2643024510353962
"SCM, Mix Data","Present Model, Mix Data",808.9575757575758,0.2638398047048945
"SCM, Mix Data","Present Model, Mix Data",812.5015151515152,0.26337701528367785
"SCM, Mix Data","Present Model, Mix Data",816.0454545454545,0.2629140830092433
"SCM, Mix Data","Present Model, Mix Data",819.589393939394,0.2624510081228676
"SCM, Mix Data","Present Model, Mix Data",823.1333333333333,0.2619877908696332
"SCM, Mix Data","Present Model, Mix Data",826.6772727272727,0.2615244314984524
"SCM, Mix Data","Present Model, Mix Data",830.2212121212121,0.2610609302620934
"SCM, Mix Data","Present Model, Mix Data",833.7651515151515,0.260597287417206
"SCM, Mix Data","Present Model, Mix Data",837.3090909090909,0.26013350322434636
"SCM, Mix Data","Present Model, Mix Data",840.8530303030303,0.2596695779480035
"SCM, Mix Data","Present Model, Mix Data",844.3969696969697,0.2592055118566244
"SCM, Mix Data","Present Model, Mix Data",847.940909090909,0.2587413052226405
"SCM, Mix Data","Present Model, Mix Data",851.4848484848485,0.25827695832249326
"SCM, Mix Data","Present Model, Mix Data",855.0287878787879,0.25781247143666064
"SCM, Mix Data","Present Model, Mix Data",858.5727272727272,0.25734784484968287
"SCM, Mix Data","Present Model, Mix Data",862.1166666666667,0.25688307885018885
"SCM, Mix Data","Present Model, Mix Data",865.660606060606,0.256418173730923
"SCM, Mix Data","Present Model, Mix Data",869.2045454545455,0.25595312978877105
"SCM, Mix Data","Present Model, Mix Data",872.7484848484848,0.25548794732478725
"SCM, Mix Data","Present Model, Mix Data",876.2924242424242,0.25502262664422093
