,,Estimated from endmembers,,Mixture Properties,,Estimated from endmembers,,Mixture Properties,,,,
Salt Composition,T_0 (K),c_m (J/kg-K),c' (J/kg-K²),c_m (J/kg-K),c' (J/kg-K²),v_m (m/s),v' (m/s/K),v_m (m/s),v' (m/s/K),l_sc,k_0,% dev
1.0LiF,1121.2,,,4476075.184,-1213.263426,,,2571.7112,-1.17400,3.449,1.32353545,5.000%
1.0NaF,1268,,,3257796.285,-1063.332381,,,2078.72,-0.96000,3.933,0.887702402,-25.196%
1.0KF,1131.2,,,2198743.689,-750.2168787,,,1833.136,-0.84500,4.367,0.586712394,-5.790%
1.0LiCl,883,,,2303686.483,-663.7886493,,,2079.483,-0.84900,4.259,0.680121567,-2.293%
1.0NaCl,1073.8,,,1853848.979,-646.8466711,,,1773.623,-0.91500,4.537,0.497278246,0.119%
1.0KCl,1042.7,,,1508405.084,-575.6594452,,,1632.6594,-0.87800,5.092,0.418003452,12.613%
1.0MgCl2,987,,,1628871.879,-278.432366,,,2101,0.00000,4.537,0.517550634,-4.846%
1.0CaCl2,1045,,,1928974.585,-390.790195,,,2065.03,0.00000,4.754,0.631274431,
1.0SrCl2,1146,,,1799756.603,-381.3809722,,,1873.13,0.00000,5.051,0.567551315,
0.6LiF-0.4NaF,930,,,3924687.987,-1081.610762,,,2512.09,-0.78700,2.282,0.74994101,-13.654%
0.42KF-0.465LiF-0.115NaF,735,,,4363761.901,-470.9942688,,,2413.78,-1.20000,2.340,0.821590085,3.156%
0.5KCl-0.5LiCl,738,,,1988961.034,-640.217264,2004.685564,-0.884599747,,,2.680,0.356184268,-40.978%
0.363KCl-0.637LiCl,665.15,,,2201467.749,-692.3840944,2109.573247,-0.879646354,,,2.806,0.434392817,-35.326%
0.5KCl-0.5NaCl,930,,,1724916.536,-611.6725303,1799.598116,-0.897557174,,,2.881,0.298099396,-33.586%
0.3CaCl2-0.7LiCl,771.15,2227090.391,-538.4891763,,,2101.295128,-0.600610536,,,2.767,0.431621813,
0.5097CaCl2-0.4903NaCl,779.15,,,2138191.78,-467.4025472,2039.977723,-0.561181599,,,2.803,0.40760016,-31.098%
0.282CaCl2-0.718KCl,921.15,,,1755732.872,-474.2154759,1788.92832,-0.820973707,,,4.006,0.419408022,
0.525CaCl2-0.058KCl-0.417NaCl,769.45,2019238.069,-492.5906199,,,2029.651298,-0.568395642,,,2.789,0.380994834,
0.5BeF2-0.5LiF,654,,,4321625.771,-884.0477594,2704.538841,-0.283017794,,,1.959,0.763347487,
0.34BeF2-0.66LiF,713.15,,,4976942.541,-1177.870136,,,3486.468349,-1.101929884,2.081,1.203693387,7.646%
0.59KF-0.065MgF2-0.345NaF,958,2774359.261,-854.3105886,,,2066.835583,-0.855296965,,,2.581,0.49332756,-37.185%
0.393KCl-0.22NaCl-0.387ZnCl2,553,1890474.798,-478.5903652,,,1373.315278,-0.535877206,,,2.769,0.239662934,
0.22KCl-0.45MgCl2-0.33NaCl,658.15,1820781.036,-432.488346,,,2082.774128,-0.593468607,,,2.626,0.331937886,
0.41KCl-0.38MgCl2-0.21NaCl,660.15,1785221.75,-456.5970238,,,2052.561412,-0.677956505,,,2.781,0.339628425,-31.792%
0.15CaCl2-0.315MgCl2-0.535NaCl,829,,,1889987.322,-234.8879769,2038.991927,-0.54596204,,,2.500,0.321117237,-31.766%
0.63NaCl-0.37UCl3,784.15,,,1891382.221,-489.7966916,1460.050892,-0.380486873,,,2.882,0.265271064,8.282%
0.658NaCl-0.342UCl3,784.15,,,1891382.221,-489.7966916,1479.378021,-0.419066432,,,2.878,0.268416921,13.512%
0.5454LiF-0.3636NaF-0.091UF4,923,4101032.902,-988.4633409,,,1938.907284,-0.557636512,,,2.190,0.580410788,
0.5KCl-0.5UCl3,815,,,1808232.293,-7.55E-13,1349.289136,-0.395864463,,,3.018,0.245439396,
0.85KCl-0.15UCl3,957,,,1787737.911,-3.79E-12,1486.649631,-0.693200731,,,3.762,0.333269953,
0.75KCl-0.25UCl3,880,,,1748612.209,-5.83E-13,1448.876569,-0.595948923,,,3.323,0.280634149,
0.65KCl-0.35UCl3,881,,,1708294.623,-1.38E-12,1387.585864,-0.516594765,,,3.110,0.245729663,
ThF4,1384,,,3393320.571,-440.6819168,1362,-6.43E-16,,,4.224,0.650761918,
