Salt Composition,PDF Source,Melting Temp (K),Gheribi-KT24 at Melt Temp (W/m-K),"Gheribi-KT24, Mix Data at Melt Temp (W/m-K)",Zhao-PGM at Melt Temp (W/m-K),"Zhao-PGM, Mix Data at Melt Temp (W/m-K)",Present Model at Melt Temp (W/m-K),"Present Model, Mix Data at Melt Temp (W/m-K)",Ideal at Melt Temp (W/m-K),Gheribi-KT24 at Min Meas Temp (W/m-K),"Gheribi-KT24, Mix Data at Min Meas Temp (W/m-K)",Zhao-PGM at Min Meas Temp (W/m-K),"Zhao-PGM, Mix Data at Min Meas Temp (W/m-K)",Present Model at Min Meas Temp (W/m-K),Present Model,"Present Model, Extrap","Present Model, Mix",Ideal at Min Meas Temp (W/m-K),TC Experimental (W/m-K),Exp. Reference,TC MSTDB (W/m-K),MSTDB Reference
1.0LiF,"Walz, 2019",1121.2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1.354220022,"LiF (Golyshev, 1992),LiF (Smirnov, 1987),LiF (Khlebnikov, 1981)",,
1.0NaF,"Walz, 2019",1268,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1.179152046,"NaF (Smirnov, 1987),NaF (Polyakov, 1975)",,
1.0KF,"Walz, 2019",1131.2,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0.622771723,"KF (Smirnov, 1987)",,
1.0LiCl,"Walz, 2019",883,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0.655514261,"LiCl (Nagasaka, 1992)",,
1.0NaCl,"Lu, 2021",1073.8,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0.491042596,"NaCl (Harada, 1992),NaCl (Nagasaka 1992)",,
1.0KCl,"Walz, 2019",1042.7,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0.367498215,"KCl (Harada, 1992),KCl (Nagasaka, 1992)",,
1.0MgCl2,"Roy, 2021",987,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0.543906858,"MgCl2 (Filatov, 2005)",,
1.0CaCl2,"Bu, 2021",1045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1.0SrCl2,"McGreevy, 1987",1146,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
0.6LiF-0.4NaF,"Grizzi, 2024",927.15,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0.86868921,0.6LiF-0.4NaF (BYU),,
