r (A),g(r)_weighted_Li-Cl,g(r)_unweighted_Li-Cl,g(r)_weighted_K-Cl,g(r)_unweighted_K-Cl,g(r)_weighted_Eu-Cl,g(r)_unweighted_Eu-Cl,S_i_Li-Cl,S_i_K-Cl,S_i_Eu-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.00690554977977978,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.01381109955955956,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.02071664933933934,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.02762219911911912,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.034527748898898904,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.04143329867867868,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.04833884845845846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.05524439823823824,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.06214994801801802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.06905549779779781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.07596104757757759,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.08286659735735737,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.08977214713713715,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.09667769691691692,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.1035832466966967,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.11048879647647648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.11739434625625626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.12429989603603604,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.13120544581581584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.13811099559559561,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.1450165453753754,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.15192209515515517,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.15882764493493495,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.16573319471471473,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.1726387444944945,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.1795442942742743,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.18644984405405407,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.19335539383383385,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.20026094361361363,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.2071664933933934,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.2140720431731732,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.22097759295295297,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.22788314273273275,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.23478869251251253,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.2416942422922923,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.24859979207207208,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.25550534185185186,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.26241089163163167,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.2693164414114114,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.27622199119119123,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.283127540970971,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.2900330907507508,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.29693864053053054,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.30384419031031035,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.3107497400900901,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.3176552898698699,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.32456083964964966,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.33146638942942946,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.3383719392092092,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.345277488988989,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.3521830387687688,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.3590885885485486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.36599413832832833,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.37289968810810814,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.3798052378878879,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.3867107876676677,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.39361633744744745,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.40052188722722726,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.407427437007007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.4143329867867868,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.42123853656656657,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.4281440863463464,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.4350496361261261,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.44195518590590593,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.44886073568568574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.4557662854654655,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.4626718352452453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.46957738502502505,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.47648293480480486,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.4833884845845846,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.4902940343643644,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.49719958414414417,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.504105133923924,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5110106837037037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5179162334834835,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5248217832632633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5317273330430431,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5386328828228228,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5455384326026026,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5524439823823825,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5593495321621622,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.566255081941942,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5731606317217217,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5800661815015016,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5869717312812813,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.5938772810610611,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6007828308408408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6076883806206207,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6145939304004004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6214994801801802,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.62840502995996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6353105797397398,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6422161295195196,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6491216792992993,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6560272290790791,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6629327788588589,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6698383286386387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6767438784184184,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6836494281981983,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.690554977977978,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.6974605277577578,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7043660775375375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7112716273173174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7181771770970972,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7250827268768769,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7319882766566567,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
0.7388938264364365,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.84863,0
