r (A),g(r)_weighted_Mg-Mg,g(r)_unweighted_Mg-Mg,g(r)_weighted_Cl-Cl,g(r)_unweighted_Cl-Cl,g(r)_weighted_Mg-Cl,g(r)_unweighted_Mg-Cl,S_i_Mg-Cl,Average_SCL,lambda_BC
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.009647121723723723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.019294243447447446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.02894136517117117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.03858848689489489,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.048235608618618614,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.05788273034234234,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.06752985206606606,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.07717697378978979,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.08682409551351351,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.09647121723723723,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.10611833896096096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.11576546068468468,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.1254125824084084,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.1350597041321321,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.14470682585585584,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.15435394757957957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.1640010693033033,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.17364819102702703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.18329531275075073,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.19294243447447446,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.20258955619819818,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.2122366779219219,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.22188379964564564,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.23153092136936937,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.24117804309309307,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.2508251648168168,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.2604722865405405,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.2701194082642642,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.27976652998798796,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.2894136517117117,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.2990607734354354,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.30870789515915914,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.31835501688288287,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.3280021386066066,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.3376492603303303,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.34729638205405405,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.3569435037777778,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.36659062550150145,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.3762377472252252,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.3858848689489489,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.39553199067267264,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.40517911239639637,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.4148262341201201,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.4244733558438438,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.43412047756756755,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.4437675992912913,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.453414721015015,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.46306184273873874,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.4727089644624624,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.48235608618618614,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.49200320790990987,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.5016503296336337,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.5112974513573574,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.520944573081081,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.5305916948048047,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.5402388165285285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.5498859382522522,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.5595330599759759,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
0.5691801816996996,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.67943,4.76796
